thread,tag,sender,reciever,begin,end,lifeSpan
3,1030,1,0,2191,2233,41
0,2002,1,0,2232,2233,0
3,1030,1,0,2233,2233,0
6,1999,0,0,2198,2233,34
1,2001,1,0,2232,2235,2
0,2002,1,0,2271,2272,0
6,1999,0,0,2238,2272,33
1,2001,1,0,2235,2273,37
0,2002,1,0,2314,2315,0
1,2001,1,0,2273,2315,42
3,1030,1,0,2233,2316,82
0,2002,1,0,2318,2318,0
6,1999,0,0,2282,2318,35
1,2001,1,0,2315,2356,40
3,1030,1,0,2316,2356,40
3,1030,1,0,2356,2356,0
0,2002,1,0,2356,2356,0
6,1999,0,0,2323,2356,33
1,2001,1,0,2356,2358,2
0,2002,1,0,2394,2394,0
3,1030,1,0,2356,2394,38
1,2001,1,0,2358,2396,37
0,2002,1,0,2396,2396,0
6,1999,0,0,2362,2396,34
1,2001,1,0,2396,2433,37
3,1030,1,0,2394,2434,39
0,2002,1,0,2433,2434,0
3,1030,1,0,2434,2434,0
6,1999,0,0,2400,2434,33
1,2001,1,0,2433,2436,2
0,2002,1,0,2473,2473,0
3,1030,1,0,2434,2473,39
1,2001,1,0,2436,2474,37
0,2002,1,0,2475,2475,0
6,1999,0,0,2441,2475,34
1,2001,1,0,2474,2516,41
3,1030,1,0,2473,2516,43
0,2002,1,0,2516,2516,0
6,1999,0,0,2481,2516,35
3,1030,1,0,2516,2517,0
1,2001,1,0,2516,2519,2
0,2002,1,0,2558,2558,0
6,1999,0,0,2524,2558,34
1,2001,1,0,2519,2560,41
0,2002,1,0,2598,2598,0
6,1999,0,0,2565,2598,33
1,2001,1,0,2560,2599,39
0,2002,1,0,2636,2637,0
3,1030,1,0,2517,2637,120
1,2001,1,0,2599,2637,37
0,2002,1,0,2639,2639,0
6,1999,0,0,2604,2639,34
1,2001,1,0,2637,2676,39
0,2002,1,0,2678,2678,0
6,1999,0,0,2643,2678,34
1,2001,1,0,2676,2716,39
0,2002,1,0,2718,2718,0
6,1999,0,0,2683,2718,35
1,2001,1,0,2716,2756,40
3,1030,1,0,2637,2756,119
3,1030,1,0,2756,2756,0
1,2001,1,0,2756,2757,1
0,2002,1,0,2758,2758,0
6,1999,0,0,2723,2758,35
0,2002,1,0,2797,2797,0
1,2001,1,0,2758,2797,39
3,1030,1,0,2756,2797,41
0,2002,1,0,2799,2799,0
6,1999,0,0,2762,2799,36
1,2001,1,0,2797,2838,40
3,1030,1,0,2797,2838,40
3,1030,1,0,2838,2838,0
0,2002,1,0,2839,2839,0
6,1999,0,0,2804,2839,35
1,2001,1,0,2838,2840,1
0,2002,1,0,2881,2881,0
6,1999,0,0,2846,2881,35
1,2001,1,0,2840,2881,41
3,1030,1,0,2838,2920,81
0,2002,1,0,2920,2920,0
1,2001,1,0,2881,2921,39
0,2002,1,0,2921,2922,0
6,1999,0,0,2887,2922,35
1,2001,1,0,2921,2959,38
3,1030,1,0,2920,2960,39
3,1030,1,0,2960,2960,0
0,2002,1,0,2961,2961,0
6,1999,0,0,2926,2961,34
1,2001,1,0,2960,2962,2
0,2002,1,0,2998,2998,0
3,1030,1,0,2960,2998,38
1,2001,1,0,2962,3000,38
0,2002,1,0,3000,3000,0
6,1999,0,0,2966,3001,34
1,2001,1,0,3000,3037,37
0,2002,1,0,3039,3039,0
6,1999,0,0,3004,3039,34
0,2002,1,0,3076,3077,0
6,1999,0,0,3043,3077,34
1,2001,1,0,3037,3077,40
1,2001,1,0,3077,3114,36
0,2002,1,0,3115,3115,0
6,1999,0,0,3081,3115,34
1,2001,1,0,3114,3153,38
3,1030,1,0,2998,3153,154
3,1030,1,0,3153,3153,0
0,2002,1,0,3154,3154,0
6,1999,0,0,3120,3154,34
1,2001,1,0,3153,3155,2
0,2002,1,0,3195,3195,0
6,1999,0,0,3160,3195,34
1,2001,1,0,3155,3196,40
1,2001,1,0,3196,3236,39
0,2002,1,0,3235,3236,1
6,1999,0,0,3201,3236,35
1,2001,0,0,3236,3259,23
3,1030,0,0,3153,3260,106
6,1999,0,0,3239,3260,21
6,1999,0,0,3261,3272,10
0,2002,1,0,3272,3273,0
3,1030,1,0,3260,3273,13
6,1999,1,0,3272,3274,2
3,1030,0,0,3260,3274,14
5,1998,0,0,3259,3274,15
1,2001,1,0,3260,3275,14
2,2001,0,0,3260,3275,14
0,2002,1,0,3275,3275,0
6,1999,0,0,3275,3275,0
1,2001,2,0,3275,3285,9
3,1030,1,0,3273,3310,37
3,1030,1,0,3310,3315,4
3,1030,1,0,3315,3321,5
3,1030,1,0,3321,3321,0
3,1030,1,0,3321,3332,10
1,2001,1,0,3285,3336,51
1,2001,2,0,3336,3336,0
1,2001,1,0,3336,3338,1
1,2001,2,0,3338,3339,0
3,1030,1,0,3332,3339,7
3,1030,1,0,3339,3339,0
3,1030,2,0,3339,3339,0
3,1030,1,0,3339,3339,0
3,1030,2,0,3339,3339,0
3,1030,2,0,3339,3339,0
3,1030,2,0,3339,3339,0
3,1030,1,0,3339,3339,0
3,1030,1,0,3339,3339,0
1,2001,1,0,3339,3341,1
0,2002,2,0,3339,3351,11
0,2002,1,0,3351,3351,0
6,1999,0,0,3310,3352,41
3,1030,1,0,3339,3367,27
3,1030,1,0,3367,3370,2
3,1030,1,0,3370,3372,2
1,2001,2,0,3341,3380,39
0,2002,2,0,3381,3381,0
0,2002,1,0,3381,3381,0
6,1999,0,0,3354,3381,27
1,2001,1,0,3384,3384,0
3,1030,1,0,3372,3384,11
3,1030,2,0,3384,3384,0
3,1030,2,0,3384,3385,0
1,2001,2,0,3384,3391,6
3,1030,1,0,3385,3415,30
1,2001,1,0,3391,3415,24
3,1030,1,0,3415,3415,0
3,1030,2,0,3415,3415,0
3,1030,1,0,3415,3415,0
1,2001,2,0,3415,3418,2
1,2001,1,0,3418,3418,0
0,2002,2,0,3419,3419,0
0,2002,1,0,3419,3419,0
6,1999,0,0,3394,3419,25
1,2001,2,0,3418,3452,33
1,2001,1,0,3452,3453,1
0,2002,2,0,3454,3454,0
0,2002,1,0,3454,3454,0
6,1999,0,0,3430,3454,24
1,2001,2,0,3453,3479,26
1,2001,1,0,3479,3481,1
0,2002,2,0,3482,3482,0
0,2002,1,0,3482,3482,0
6,1999,0,0,3457,3482,24
1,2001,1,0,3481,3510,28
1,2001,2,0,3510,3524,13
0,2002,2,0,3510,3524,13
0,2002,1,0,3524,3524,0
6,1999,0,0,3486,3524,38
1,2001,2,0,3524,3557,33
1,2001,1,0,3557,3558,0
0,2002,2,0,3559,3560,0
0,2002,1,0,3560,3560,0
6,1999,0,0,3535,3560,24
3,1030,1,0,3415,3586,170
0,2002,2,0,3587,3588,0
0,2002,1,0,3588,3588,0
3,1030,1,0,3586,3588,1
3,1030,1,0,3588,3589,1
3,1030,1,0,3589,3590,1
0,2002,1,0,3590,3590,0
1,2001,2,0,3558,3591,33
0,2002,1,0,3593,3593,0
6,1999,0,0,3563,3593,29
1,2001,1,0,3591,3595,3
1,2001,1,0,3595,3622,27
3,1030,1,0,3590,3622,32
3,1030,1,0,3623,3623,0
3,1030,2,0,3623,3623,0
1,2001,2,0,3622,3624,1
1,2001,1,0,3624,3625,0
0,2002,2,0,3626,3626,0
0,2002,1,0,3626,3626,0
6,1999,0,0,3599,3626,27
1,2001,1,0,3625,3660,34
3,1030,1,0,3623,3660,37
3,1030,1,0,3660,3660,0
3,1030,2,0,3660,3660,0
0,2002,2,0,3663,3663,0
0,2002,1,0,3663,3663,0
6,1999,0,0,3638,3663,24
1,2001,1,0,3660,3664,3
1,2001,2,0,3664,3664,0
0,2002,2,0,3693,3693,0
0,2002,1,0,3693,3693,0
6,1999,0,0,3669,3693,24
1,2001,1,0,3664,3694,29
1,2001,2,0,3694,3695,1
1,2001,1,0,3695,3718,23
3,1030,1,0,3660,3718,58
3,1030,1,0,3719,3719,0
3,1030,2,0,3719,3719,0
0,2002,2,0,3719,3720,0
3,1030,2,0,3719,3720,1
1,2001,1,0,3718,3722,3
0,2002,2,0,3722,3722,0
0,2002,1,0,3722,3722,0
6,1999,0,0,3698,3722,24
1,2001,2,0,3722,3722,0
0,2002,2,0,3748,3748,0
0,2002,1,0,3748,3749,0
3,1030,1,0,3720,3749,28
3,1030,1,0,3749,3750,0
3,1030,1,0,3750,3751,1
0,2002,1,0,3751,3751,0
1,2001,2,0,3722,3753,30
0,2002,1,0,3754,3754,0
6,1999,0,0,3725,3754,29
1,2001,1,0,3753,3758,5
1,2001,1,0,3758,3789,30
3,1030,1,0,3751,3790,38
3,1030,1,0,3790,3790,0
1,2001,1,0,3789,3792,2
3,1030,2,0,3790,3792,2
3,1030,2,0,3792,3800,7
0,2002,2,0,3798,3800,1
3,1030,2,0,3800,3800,0
3,1030,1,0,3801,3801,0
1,2001,2,0,3792,3801,8
3,1030,1,0,3801,3803,2
0,2002,2,0,3803,3804,0
1,2001,1,0,3801,3810,8
0,2002,1,0,3804,3814,10
6,1999,0,0,3775,3814,39
3,1030,1,0,3803,3860,56
1,2001,1,0,3810,3865,55
3,1030,1,0,3860,3865,5
3,1030,2,0,3865,3865,0
1,2001,2,0,3865,3865,0
3,1030,1,0,3865,3866,0
3,1030,1,0,3866,3866,0
3,1030,2,0,3866,3866,0
3,1030,2,0,3866,3866,0
1,2001,1,0,3866,3867,1
3,1030,2,0,3866,3868,1
3,1030,1,0,3868,3868,0
1,2001,2,0,3867,3868,0
3,1030,1,0,3868,3871,3
1,2001,1,0,3868,3871,3
0,2002,2,0,3872,3872,0
0,2002,1,0,3872,3872,0
6,1999,0,0,3837,3872,35
1,2001,1,0,3871,3914,42
0,2002,2,0,3914,3914,0
3,1030,2,0,3871,3915,43
3,1030,2,0,3915,3915,0
3,1030,1,0,3915,3916,0
3,1030,1,0,3916,3916,0
1,2001,1,0,3914,3919,4
0,2002,2,0,3918,3927,9
1,2001,2,0,3919,3928,8
0,2002,1,0,3927,3928,0
6,1999,0,0,3891,3928,36
0,2002,2,0,3980,3980,0
0,2002,1,0,3980,3980,0
6,1999,0,0,3957,3980,23
1,2001,1,0,3928,3982,54
1,2001,2,0,3982,4003,21
0,2002,2,0,4034,4035,0
0,2002,1,0,4035,4035,0
6,1999,0,0,4011,4035,23
1,2001,2,0,4004,4036,32
1,2001,1,0,4036,4037,0
0,2002,2,0,4065,4065,0
0,2002,1,0,4065,4065,0
6,1999,0,0,4041,4065,24
1,2001,1,0,4037,4067,29
1,2001,2,0,4067,4068,1
0,2002,2,0,4096,4096,0
3,1030,2,0,3916,4097,181
1,2001,1,0,4068,4098,29
1,2001,2,0,4098,4098,0
0,2002,2,0,4100,4104,4
0,2002,1,0,4104,4104,0
6,1999,0,0,4073,4104,31
1,2001,2,0,4098,4148,50
1,2001,1,0,4148,4149,1
0,2002,2,0,4150,4150,0
0,2002,1,0,4150,4150,0
6,1999,0,0,4124,4150,26
1,2001,2,0,4149,4178,28
1,2001,1,0,4178,4180,1
0,2002,2,0,4180,4180,0
0,2002,1,0,4180,4180,0
6,1999,0,0,4154,4180,26
1,2001,2,0,4180,4207,27
0,2002,2,0,4209,4210,0
1,2001,1,0,4207,4210,2
0,2002,1,0,4210,4210,0
6,1999,0,0,4183,4210,26
1,2001,2,0,4210,4237,27
0,2002,2,0,4239,4239,0
1,2001,1,0,4237,4239,2
0,2002,1,0,4239,4239,0
6,1999,0,0,4213,4239,26
3,1030,1,0,4097,4268,170
1,2001,1,0,4239,4278,38
0,2002,2,0,4268,4278,9
0,2002,1,0,4278,4278,0
6,1999,0,0,4242,4278,36
1,2001,2,0,4278,4284,6
1,2001,1,0,4284,4320,35
3,1030,1,0,4268,4320,52
3,1030,1,0,4320,4320,0
3,1030,2,0,4320,4323,3
0,2002,2,0,4320,4332,11
1,2001,1,0,4320,4332,12
3,1030,2,0,4323,4339,15
1,2001,2,0,4332,4343,11
0,2002,2,0,4343,4343,0
0,2002,1,0,4343,4344,0
6,1999,0,0,4297,4344,46
0,2002,2,0,4418,4418,0
3,1030,2,0,4339,4419,79
0,2002,2,0,4421,4421,0
3,1030,2,0,4419,4422,3
0,2002,2,0,4425,4425,0
3,1030,2,0,4422,4426,3
3,1030,1,0,4426,4427,1
0,2002,2,0,4428,4430,1
0,2002,1,0,4430,4431,1
3,1030,1,0,4427,4431,3
3,1030,1,0,4431,4431,0
3,1030,1,0,4431,4434,3
0,2002,1,0,4435,4435,0
1,2001,1,0,4343,4435,91
6,1999,0,0,4391,4435,43
1,2001,2,0,4435,4448,12
1,2001,1,0,4448,4490,42
3,1030,1,0,4434,4490,56
3,1030,2,0,4490,4490,0
3,1030,1,0,4490,4490,0
1,2001,1,0,4490,4493,3
3,1030,1,0,4490,4494,3
3,1030,2,0,4494,4494,0
3,1030,1,0,4494,4494,0
1,2001,1,0,4494,4496,2
3,1030,1,0,4494,4496,2
3,1030,2,0,4496,4496,0
3,1030,1,0,4496,4496,0
1,2001,1,0,4496,4499,3
3,1030,1,0,4496,4503,7
1,2001,1,0,4499,4503,4
3,1030,1,0,4503,4503,0
3,1030,2,0,4503,4503,0
1,2001,2,0,4503,4503,0
3,1030,1,0,4503,4503,0
3,1030,1,0,4503,4504,0
3,1030,2,0,4504,4504,0
1,2001,1,0,4503,4519,15
0,2002,2,0,4504,4519,14
0,2002,1,0,4519,4519,0
6,1999,0,0,4473,4520,46
0,2002,2,0,4579,4579,0
3,1030,2,0,4504,4580,75
0,2002,2,0,4582,4582,0
3,1030,2,0,4580,4582,2
0,2002,2,0,4584,4584,0
0,2002,1,0,4584,4584,0
3,1030,1,0,4582,4585,2
3,1030,1,0,4586,4586,0
1,2001,1,0,4519,4587,67
0,2002,1,0,4587,4588,0
6,1999,0,0,4560,4588,27
1,2001,2,0,4587,4590,3
1,2001,1,0,4590,4618,28
3,1030,2,0,4586,4619,32
0,2002,2,0,4620,4620,0
0,2002,1,0,4620,4620,0
1,2001,2,0,4618,4620,2
6,1999,0,0,4595,4620,25
3,1030,1,0,4619,4663,43
