thread,tag,sender,reciever,begin,end,lifeSpan
8,10002,0,2,3250,3250,0
8,10003,0,2,3250,3259,9
8,10000,0,2,3259,3260,0
8,10001,0,2,3260,3260,0
8,30000,0,2,3260,3260,0
3,1030,1,2,3261,3273,11
0,2002,1,2,3284,3284,0
0,2002,0,2,3284,3295,10
6,1999,2,2,3283,3295,12
0,2002,1,2,3304,3311,7
3,1030,1,2,3273,3311,38
0,2002,1,2,3314,3314,0
3,1030,1,2,3312,3315,3
0,2002,1,2,3317,3317,0
3,1030,1,2,3315,3318,3
0,2002,1,2,3320,3321,0
3,1030,1,2,3318,3321,3
3,1030,1,2,3321,3332,10
0,2002,1,2,3324,3332,7
0,2002,1,2,3333,3333,0
0,2002,0,2,3333,3336,2
3,1030,0,2,3332,3336,4
3,1030,0,2,3336,3337,0
3,1030,0,2,3337,3338,1
0,2002,0,2,3339,3339,0
6,1999,2,2,3303,3339,35
1,2001,0,2,3261,3339,78
1,2001,1,2,3340,3341,1
3,1030,1,2,3338,3367,28
0,2002,1,2,3367,3367,0
0,2002,1,2,3369,3370,0
3,1030,1,2,3367,3370,2
0,2002,1,2,3372,3372,0
3,1030,1,2,3370,3372,2
0,2002,1,2,3375,3375,0
1,2001,0,2,3341,3381,39
0,2002,0,2,3375,3381,6
1,2001,1,2,3381,3384,3
3,1030,0,2,3373,3385,12
0,2002,0,2,3386,3391,4
6,1999,2,2,3354,3391,37
3,1030,1,2,3385,3415,30
3,1030,0,2,3415,3415,0
0,2002,1,2,3414,3415,0
0,2002,1,2,3418,3418,0
0,2002,0,2,3418,3418,0
6,1999,2,2,3395,3418,23
1,2001,1,2,3384,3419,34
1,2001,0,2,3419,3419,0
0,2002,1,2,3451,3451,0
0,2002,0,2,3452,3452,0
6,1999,2,2,3430,3452,21
1,2001,1,2,3419,3453,33
1,2001,0,2,3453,3454,0
0,2002,1,2,3479,3479,0
0,2002,0,2,3479,3480,0
6,1999,2,2,3457,3480,22
1,2001,1,2,3454,3481,27
1,2001,0,2,3481,3482,0
1,2001,1,2,3482,3523,41
0,2002,1,2,3508,3523,15
1,2001,0,2,3523,3523,0
0,2002,0,2,3523,3524,0
6,1999,2,2,3486,3531,45
0,2002,1,2,3557,3557,0
0,2002,0,2,3557,3558,0
6,1999,2,2,3535,3558,22
1,2001,1,2,3523,3558,34
1,2001,0,2,3558,3560,1
0,2002,1,2,3585,3585,0
3,1030,1,2,3415,3586,171
1,2001,0,2,3560,3587,27
3,1030,1,2,3588,3588,0
0,2002,1,2,3588,3588,0
0,2002,1,2,3591,3591,0
0,2002,0,2,3591,3591,0
3,1030,1,2,3588,3592,3
6,1999,2,2,3563,3592,28
3,1030,1,2,3592,3592,0
1,2001,1,2,3587,3595,8
3,1030,0,2,3594,3623,28
0,2002,1,2,3624,3624,0
0,2002,0,2,3624,3624,0
6,1999,2,2,3599,3624,25
1,2001,1,2,3595,3625,29
1,2001,0,2,3625,3626,0
3,1030,0,2,3623,3660,37
1,2001,0,2,3626,3663,37
0,2002,1,2,3664,3664,0
0,2002,0,2,3664,3664,0
6,1999,2,2,3639,3665,25
1,2001,1,2,3664,3665,0
1,2001,0,2,3665,3693,27
1,2001,1,2,3693,3694,0
0,2002,1,2,3694,3695,0
0,2002,0,2,3695,3695,0
6,1999,2,2,3669,3695,26
3,1030,0,2,3660,3718,58
1,2001,0,2,3694,3719,25
3,1030,0,2,3719,3720,1
3,1030,1,2,3720,3722,1
1,2001,1,2,3720,3722,1
1,2001,0,2,3722,3722,0
3,1030,0,2,3722,3722,0
0,2002,1,2,3722,3722,0
0,2002,0,2,3722,3722,0
6,1999,2,2,3698,3722,24
1,2001,0,2,3722,3748,26
3,1030,1,2,3722,3749,26
0,2002,1,2,3749,3749,0
3,1030,1,2,3749,3750,1
3,1030,1,2,3750,3751,1
0,2002,1,2,3753,3753,0
0,2002,0,2,3753,3753,0
6,1999,2,2,3725,3753,28
1,2001,1,2,3748,3761,12
3,1030,0,2,3751,3790,38
3,1030,0,2,3790,3792,2
1,2001,0,2,3761,3798,37
3,1030,0,2,3792,3800,8
3,1030,0,2,3800,3801,0
3,1030,1,2,3801,3801,0
0,2002,1,2,3798,3801,2
0,2002,0,2,3801,3801,0
6,1999,2,2,3775,3801,26
1,2001,0,2,3798,3803,5
1,2001,1,2,3803,3814,10
0,2002,1,2,3859,3860,0
3,1030,1,2,3801,3860,59
3,1030,0,2,3860,3865,4
0,2002,1,2,3862,3865,2
0,2002,0,2,3865,3866,0
3,1030,0,2,3865,3866,1
3,1030,0,2,3866,3867,1
0,2002,0,2,3868,3868,0
6,1999,2,2,3837,3868,31
1,2001,1,2,3814,3871,57
1,2001,0,2,3871,3872,0
3,1030,0,2,3868,3914,46
1,2001,0,2,3872,3914,42
3,1030,0,2,3915,3915,0
3,1030,0,2,3915,3916,0
1,2001,0,2,3915,3927,12
1,2001,1,2,3927,3927,0
3,1030,1,2,3916,3927,11
0,2002,1,2,3916,3927,11
0,2002,0,2,3928,3928,0
6,1999,2,2,3891,3928,36
1,2001,0,2,3927,3980,52
1,2001,1,2,3980,4003,23
0,2002,1,2,3982,4003,21
0,2002,0,2,4003,4004,0
6,1999,2,2,3956,4004,47
1,2001,0,2,4003,4034,31
0,2002,1,2,4036,4036,0
0,2002,0,2,4036,4037,0
6,1999,2,2,4011,4037,25
1,2001,1,2,4034,4037,2
1,2001,0,2,4037,4065,27
1,2001,1,2,4065,4067,1
0,2002,1,2,4067,4068,0
0,2002,0,2,4068,4068,0
6,1999,2,2,4041,4068,26
1,2001,0,2,4067,4096,29
3,1030,0,2,3927,4097,169
3,1030,1,2,4097,4097,0
3,1030,0,2,4097,4097,0
0,2002,1,2,4097,4098,0
0,2002,0,2,4098,4098,0
6,1999,2,2,4073,4098,25
1,2001,1,2,4097,4103,6
1,2001,0,2,4103,4103,0
0,2002,1,2,4148,4148,0
0,2002,0,2,4148,4148,0
6,1999,2,2,4124,4148,24
1,2001,0,2,4103,4150,46
1,2001,1,2,4150,4150,0
0,2002,1,2,4178,4178,0
0,2002,0,2,4178,4178,0
6,1999,2,2,4154,4178,24
1,2001,0,2,4150,4180,29
1,2001,1,2,4180,4180,0
0,2002,1,2,4207,4207,0
0,2002,0,2,4207,4208,0
6,1999,2,2,4183,4208,24
1,2001,0,2,4180,4210,29
1,2001,1,2,4210,4210,0
0,2002,1,2,4237,4237,0
0,2002,0,2,4237,4237,0
6,1999,2,2,4213,4237,24
1,2001,0,2,4210,4239,28
1,2001,1,2,4239,4239,0
0,2002,1,2,4266,4266,0
3,1030,1,2,4097,4278,180
1,2001,0,2,4239,4278,38
1,2001,1,2,4278,4278,0
0,2002,1,2,4283,4284,0
0,2002,0,2,4284,4287,3
6,1999,2,2,4242,4287,45
3,1030,0,2,4278,4323,45
1,2001,0,2,4278,4332,53
