thread,tag,sender,reciever,begin,end,lifeSpan
3,1030,0,1,16,188,171
0,2002,0,1,186,188,1
0,2002,0,1,189,190,0
6,1999,1,1,145,190,44
1,2001,0,1,16,194,177
1,2001,0,1,194,277,82
0,2002,0,1,278,278,0
6,1999,1,1,235,278,42
1,2001,0,1,277,325,47
0,2002,0,1,325,325,0
6,1999,1,1,282,325,42
0,2002,0,1,369,370,0
6,1999,1,1,327,370,42
1,2001,0,1,325,371,46
0,2002,0,1,416,416,0
6,1999,1,1,373,416,42
1,2001,0,1,371,417,46
0,2002,0,1,463,463,0
6,1999,1,1,420,463,43
1,2001,0,1,417,464,46
0,2002,0,1,509,509,0
3,1030,0,1,188,510,321
0,2002,0,1,512,512,0
6,1999,1,1,466,513,46
1,2001,0,1,464,516,52
0,2002,0,1,564,565,0
3,1030,0,1,510,565,55
0,2002,0,1,568,568,0
3,1030,0,1,565,568,2
0,2002,0,1,570,571,0
6,1999,1,1,519,571,51
1,2001,0,1,516,573,57
1,2001,0,1,573,618,44
3,1030,0,1,568,618,49
3,1030,0,1,618,618,0
0,2002,0,1,619,620,0
6,1999,1,1,576,620,43
1,2001,0,1,618,621,2
0,2002,0,1,663,664,0
6,1999,1,1,624,664,39
1,2001,0,1,621,666,44
0,2002,0,1,707,707,0
1,2001,0,1,666,707,41
3,1030,0,1,618,707,89
0,2002,0,1,709,709,0
6,1999,1,1,668,710,41
1,2001,0,1,707,751,44
3,1030,0,1,707,752,44
3,1030,0,1,752,752,0
0,2002,0,1,752,753,0
6,1999,1,1,713,753,39
1,2001,0,1,752,755,3
0,2002,0,1,798,798,0
6,1999,1,1,758,798,40
1,2001,0,1,755,798,43
0,2002,0,1,843,843,0
6,1999,1,1,802,843,40
1,2001,0,1,798,843,44
0,2002,0,1,886,886,0
6,1999,1,1,847,886,39
1,2001,0,1,843,888,44
0,2002,0,1,929,930,0
6,1999,1,1,891,930,39
1,2001,0,1,888,933,45
0,2002,0,1,975,975,0
6,1999,1,1,936,975,39
1,2001,0,1,933,977,44
0,2002,0,1,1017,1018,0
3,1030,0,1,752,1018,266
1,2001,0,1,977,1019,42
0,2002,0,1,1020,1020,0
6,1999,1,1,980,1020,40
1,2001,0,1,1019,1063,44
3,1030,0,1,1018,1064,45
3,1030,0,1,1064,1064,0
0,2002,0,1,1064,1064,0
6,1999,1,1,1024,1064,39
1,2001,0,1,1064,1066,2
0,2002,0,1,1108,1109,0
6,1999,1,1,1070,1109,39
1,2001,0,1,1066,1111,44
1,2001,0,1,1111,1149,37
3,1030,0,1,1064,1149,85
3,1030,0,1,1149,1149,0
1,2001,0,1,1149,1150,1
3,1030,0,1,1149,1151,1
3,1030,0,1,1151,1151,0
0,2002,0,1,1151,1151,0
6,1999,1,1,1115,1151,36
1,2001,0,1,1150,1153,2
0,2002,0,1,1193,1193,0
1,2001,0,1,1153,1193,40
6,1999,1,1,1157,1193,36
1,2001,0,1,1193,1233,39
0,2002,0,1,1234,1234,0
6,1999,1,1,1197,1234,36
1,2001,0,1,1233,1274,41
0,2002,0,1,1274,1274,0
6,1999,1,1,1238,1274,36
1,2001,0,1,1274,1312,38
0,2002,0,1,1313,1313,0
6,1999,1,1,1278,1313,34
3,1030,0,1,1151,1313,162
3,1030,0,1,1313,1313,0
1,2001,0,1,1313,1315,2
0,2002,0,1,1353,1353,0
3,1030,0,1,1313,1353,40
1,2001,0,1,1315,1354,39
0,2002,0,1,1356,1356,0
6,1999,1,1,1319,1356,36
0,2002,0,1,1395,1395,0
6,1999,1,1,1360,1395,35
1,2001,0,1,1354,1395,41
0,2002,0,1,1435,1436,0
6,1999,1,1,1400,1436,36
1,2001,0,1,1395,1437,41
3,1030,0,1,1353,1475,122
0,2002,0,1,1475,1475,0
1,2001,0,1,1437,1476,39
0,2002,0,1,1478,1478,0
6,1999,1,1,1441,1478,36
1,2001,0,1,1476,1517,40
0,2002,0,1,1517,1517,0
3,1030,0,1,1475,1517,41
6,1999,1,1,1482,1517,35
3,1030,0,1,1517,1517,0
1,2001,0,1,1517,1519,2
0,2002,0,1,1558,1558,0
6,1999,1,1,1523,1558,35
1,2001,0,1,1519,1558,38
0,2002,0,1,1596,1596,0
6,1999,1,1,1562,1597,34
1,2001,0,1,1558,1598,39
0,2002,0,1,1636,1636,0
6,1999,1,1,1601,1636,35
1,2001,0,1,1598,1637,39
0,2002,0,1,1675,1676,0
6,1999,1,1,1641,1676,35
1,2001,0,1,1638,1676,38
0,2002,0,1,1715,1715,0
6,1999,1,1,1680,1715,35
1,2001,0,1,1677,1716,39
0,2002,0,1,1755,1755,0
6,1999,1,1,1720,1755,35
1,2001,0,1,1716,1757,40
0,2002,0,1,1796,1796,0
6,1999,1,1,1761,1797,35
1,2001,0,1,1757,1798,40
0,2002,0,1,1836,1837,0
6,1999,1,1,1801,1837,35
1,2001,0,1,1798,1837,38
0,2002,0,1,1875,1875,0
6,1999,1,1,1841,1875,34
1,2001,0,1,1837,1877,40
0,2002,0,1,1915,1915,0
3,1030,0,1,1517,1915,397
1,2001,0,1,1877,1916,39
0,2002,0,1,1917,1918,0
6,1999,1,1,1882,1918,36
1,2001,0,1,1916,1956,39
0,2002,0,1,1957,1957,0
6,1999,1,1,1921,1957,36
1,2001,0,1,1956,1994,38
3,1030,0,1,1915,1994,79
3,1030,0,1,1994,1994,0
0,2002,0,1,1995,1995,0
6,1999,1,1,1961,1996,34
1,2001,0,1,1994,1997,2
3,1030,0,1,1994,2035,40
0,2002,0,1,2034,2035,0
1,2001,0,1,1997,2035,38
0,2002,0,1,2037,2037,0
6,1999,1,1,2000,2037,36
1,2001,0,1,2035,2075,39
3,1030,0,1,2035,2075,40
3,1030,0,1,2075,2075,0
0,2002,0,1,2076,2076,0
6,1999,1,1,2042,2076,34
1,2001,0,1,2075,2077,2
0,2002,0,1,2113,2113,0
3,1030,0,1,2075,2114,38
