thread,tag,sender,reciever,begin,end,lifeSpan
1,2001,1,0,14,3272,3257
3,1030,1,0,29,3273,3243
3,1030,1,0,3273,3273,0
1,2001,1,0,3273,3285,12
3,1030,1,0,3273,3285,11
3,1030,1,0,3285,3286,0
1,2001,1,0,3285,3295,10
3,1030,1,0,3286,3296,10
3,1030,1,0,3296,3296,0
1,2001,1,0,3295,3305,9
3,1030,1,0,3296,3305,9
3,1030,1,0,3305,3305,0
0,2002,1,0,3309,3310,0
6,1999,0,0,2799,3310,511
1,2001,1,0,3305,3314,8
0,2002,1,0,3850,3851,0
3,1030,1,0,3305,3851,545
0,2002,1,0,3857,3857,0
3,1030,1,0,3851,3858,6
3,1030,1,0,3858,3867,9
0,2002,1,0,3867,3867,0
0,2002,1,0,3877,3877,0
3,1030,1,0,3867,3877,10
0,2002,1,0,3887,3888,0
3,1030,1,0,3877,3888,10
0,2002,1,0,3898,3898,0
3,1030,1,0,3888,3898,10
0,2002,1,0,3905,3905,0
3,1030,1,0,3898,3905,7
0,2002,1,0,3911,3912,0
3,1030,1,0,3905,3912,6
0,2002,1,0,3918,3919,0
3,1030,1,0,3912,3919,6
0,2002,1,0,3925,3926,0
3,1030,1,0,3919,3926,6
0,2002,1,0,3933,3933,0
3,1030,1,0,3926,3933,7
1,2001,1,0,3314,3940,625
0,2002,1,0,3940,3940,0
6,1999,0,0,3325,3940,615
1,2001,1,0,3940,4403,463
3,1030,1,0,3933,4403,470
3,1030,1,0,4403,4403,0
1,2001,1,0,4403,4412,9
3,1030,1,0,4403,4412,8
3,1030,1,0,4412,4412,0
1,2001,1,0,4412,4417,4
3,1030,1,0,4412,4417,5
3,1030,1,0,4418,4418,0
1,2001,1,0,4417,4424,6
3,1030,1,0,4418,4424,6
3,1030,1,0,4424,4424,0
1,2001,1,0,4424,4430,6
3,1030,1,0,4424,4430,6
3,1030,1,0,4430,4430,0
1,2001,1,0,4430,4436,5
3,1030,1,0,4430,4436,5
3,1030,1,0,4436,4436,0
1,2001,1,0,4436,4445,8
3,1030,1,0,4436,4445,8
3,1030,1,0,4445,4445,0
1,2001,1,0,4445,4454,9
3,1030,1,0,4445,4454,8
3,1030,1,0,4454,4454,0
1,2001,1,0,4454,4460,5
3,1030,1,0,4454,4460,5
3,1030,1,0,4460,4460,0
1,2001,1,0,4460,4466,5
3,1030,1,0,4460,4466,6
3,1030,1,0,4466,4466,0
0,2002,1,0,4470,4470,0
6,1999,0,0,3947,4470,523
1,2001,1,0,4466,4472,6
1,2001,1,0,4472,4969,497
3,1030,1,0,4466,4970,503
3,1030,1,0,4970,4970,0
1,2001,1,0,4970,4988,18
3,1030,1,0,4970,4988,17
3,1030,1,0,4988,4988,0
1,2001,1,0,4988,5004,16
3,1030,1,0,4988,5004,15
3,1030,1,0,5004,5004,0
1,2001,1,0,5004,5022,17
3,1030,1,0,5004,5022,17
3,1030,1,0,5022,5022,0
1,2001,1,0,5022,5038,16
3,1030,1,0,5022,5038,16
3,1030,1,0,5038,5038,0
1,2001,1,0,5038,5044,6
3,1030,1,0,5038,5045,6
3,1030,1,0,5045,5045,0
1,2001,1,0,5045,5059,14
3,1030,1,0,5045,5059,13
3,1030,1,0,5059,5059,0
0,2002,1,0,5067,5068,0
6,1999,0,0,4482,5068,585
1,2001,1,0,5059,5068,9
0,2002,1,0,5601,5601,0
3,1030,1,0,5059,5601,541
0,2002,1,0,5607,5607,0
3,1030,1,0,5601,5607,6
0,2002,1,0,5613,5613,0
3,1030,1,0,5607,5614,6
0,2002,1,0,5621,5621,0
3,1030,1,0,5614,5621,7
0,2002,1,0,5630,5631,0
3,1030,1,0,5621,5631,9
1,2001,1,0,5068,5639,571
0,2002,1,0,5639,5639,0
6,1999,0,0,5082,5639,557
0,2002,1,0,6110,6110,0
3,1030,1,0,5631,6110,479
0,2002,1,0,6116,6116,0
3,1030,1,0,6110,6117,6
0,2002,1,0,6120,6120,0
3,1030,1,0,6117,6120,3
0,2002,1,0,6126,6126,0
3,1030,1,0,6120,6127,6
0,2002,1,0,6132,6132,0
3,1030,1,0,6127,6132,5
0,2002,1,0,6138,6138,0
3,1030,1,0,6132,6139,6
0,2002,1,0,6144,6145,0
3,1030,1,0,6139,6145,5
0,2002,1,0,6153,6154,0
3,1030,1,0,6145,6154,9
0,2002,1,0,6163,6163,0
3,1030,1,0,6154,6163,9
0,2002,1,0,6167,6167,0
3,1030,1,0,6163,6167,3
1,2001,1,0,5639,6170,530
0,2002,1,0,6173,6173,0
6,1999,0,0,5649,6173,523
1,2001,1,0,6170,6699,529
0,2002,1,0,6700,6701,0
6,1999,0,0,6181,6701,520
1,2001,1,0,6699,7222,523
3,1030,1,0,6167,7223,1055
3,1030,1,0,7223,7223,0
1,2001,1,0,7223,7226,3
0,2002,1,0,7231,7231,0
6,1999,0,0,6709,7231,521
1,2001,1,0,7226,7723,496
3,1030,1,0,7223,7723,500
3,1030,1,0,7723,7723,0
1,2001,1,0,7723,7729,6
3,1030,1,0,7723,7729,6
3,1030,1,0,7730,7730,0
1,2001,1,0,7729,7739,9
3,1030,1,0,7730,7739,9
3,1030,1,0,7739,7739,0
1,2001,1,0,7739,7746,6
0,2002,1,0,7756,7757,0
6,1999,0,0,7239,7757,517
1,2001,1,0,7746,8297,551
3,1030,1,0,7739,8297,557
3,1030,1,0,8297,8297,0
1,2001,1,0,8297,8307,10
3,1030,1,0,8297,8307,9
3,1030,1,0,8307,8307,0
1,2001,1,0,8307,8311,3
3,1030,1,0,8307,8311,3
3,1030,1,0,8311,8311,0
1,2001,1,0,8311,8318,7
3,1030,1,0,8311,8319,7
3,1030,1,0,8319,8319,0
1,2001,1,0,8319,8326,7
0,2002,1,0,8334,8334,0
6,1999,0,0,7766,8334,567
3,1030,1,0,8319,8879,559
0,2002,1,0,8878,8879,0
0,2002,1,0,8882,8882,0
3,1030,1,0,8879,8882,3
0,2002,1,0,8888,8888,0
6,1999,0,0,8345,8888,542
1,2001,1,0,8326,8889,563
3,1030,1,0,8882,9384,501
0,2002,1,0,9383,9384,0
3,1030,1,0,9384,9390,6
0,2002,1,0,9390,9390,0
0,2002,1,0,9399,9399,0
3,1030,1,0,9390,9399,9
3,1030,1,0,9399,9403,3
0,2002,1,0,9403,9403,0
3,1030,1,0,9403,9409,6
0,2002,1,0,9409,9409,0
0,2002,1,0,9415,9415,0
3,1030,1,0,9409,9415,6
1,2001,1,0,8889,9424,534
0,2002,1,0,9424,9424,0
6,1999,0,0,8899,9424,524
0,2002,1,0,9953,9954,0
3,1030,1,0,9416,9954,538
1,2001,1,0,9424,9957,532
0,2002,1,0,9960,9960,0
6,1999,0,0,9432,9960,527
1,2001,1,0,9957,10489,531
3,1030,1,0,9954,10492,538
3,1030,1,0,10492,10492,0
0,2002,1,0,10492,10493,0
6,1999,0,0,9972,10493,520
1,2001,1,0,10489,10500,10
3,1030,1,0,10492,11041,548
0,2002,1,0,11041,11041,0
3,1030,1,0,11041,11050,8
0,2002,1,0,11050,11050,0
3,1030,1,0,11050,11055,5
0,2002,1,0,11055,11055,0
3,1030,1,0,11055,11062,6
0,2002,1,0,11061,11062,0
3,1030,1,0,11062,11068,6
0,2002,1,0,11068,11068,0
3,1030,1,0,11068,11077,9
0,2002,1,0,11077,11077,0
1,2001,1,0,10500,11083,582
0,2002,1,0,11084,11084,0
6,1999,0,0,10511,11084,572
1,2001,1,0,11083,11593,510
3,1030,1,0,11077,11593,516
3,1030,1,0,11593,11594,0
1,2001,1,0,11593,11597,4
3,1030,1,0,11594,11598,4
3,1030,1,0,11598,11598,0
1,2001,1,0,11597,11604,6
3,1030,1,0,11598,11604,6
3,1030,1,0,11604,11604,0
1,2001,1,0,11604,11611,6
3,1030,1,0,11604,11611,6
3,1030,1,0,11611,11611,0
1,2001,1,0,11611,11620,9
3,1030,1,0,11611,11621,9
3,1030,1,0,11621,11621,0
1,2001,1,0,11621,11626,5
3,1030,1,0,11621,11626,5
3,1030,1,0,11626,11626,0
1,2001,1,0,11626,11633,6
3,1030,1,0,11626,11633,6
3,1030,1,0,11633,11633,0
1,2001,1,0,11633,11643,10
0,2002,1,0,11647,11647,0
6,1999,0,0,11097,11647,550
1,2001,1,0,11643,12150,507
3,1030,1,0,11633,12150,517
3,1030,1,0,12150,12151,0
1,2001,1,0,12150,12160,9
3,1030,1,0,12151,12160,9
3,1030,1,0,12160,12161,0
1,2001,1,0,12160,12167,7
3,1030,1,0,12161,12168,7
3,1030,1,0,12168,12168,0
1,2001,1,0,12168,12177,9
3,1030,1,0,12168,12177,9
3,1030,1,0,12177,12177,0
1,2001,1,0,12177,12184,6
3,1030,1,0,12177,12184,6
3,1030,1,0,12184,12184,0
1,2001,1,0,12184,12193,9
3,1030,1,0,12184,12194,9
3,1030,1,0,12194,12194,0
1,2001,1,0,12194,12200,6
3,1030,1,0,12194,12200,6
3,1030,1,0,12200,12200,0
1,2001,1,0,12200,12207,6
3,1030,1,0,12200,12207,6
3,1030,1,0,12207,12207,0
1,2001,1,0,12207,12217,9
3,1030,1,0,12207,12217,9
3,1030,1,0,12217,12217,0
1,2001,1,0,12217,12227,9
3,1030,1,0,12217,12227,9
3,1030,1,0,12227,12227,0
1,2001,1,0,12227,12234,6
3,1030,1,0,12227,12234,6
3,1030,1,0,12234,12234,0
1,2001,1,0,12234,12243,9
3,1030,1,0,12234,12243,9
3,1030,1,0,12243,12244,0
0,2002,1,0,12250,12250,0
6,1999,0,0,11656,12250,593
1,2001,1,0,12243,12250,6
0,2002,1,0,12756,12756,0
3,1030,1,0,12244,12756,512
3,1030,1,0,12756,12766,10
0,2002,1,0,12766,12766,0
0,2002,1,0,12776,12777,0
3,1030,1,0,12766,12777,10
0,2002,1,0,12787,12787,0
3,1030,1,0,12777,12787,10
0,2002,1,0,12794,12794,0
3,1030,1,0,12787,12794,7
1,2001,1,0,12250,12800,549
0,2002,1,0,12801,12801,0
6,1999,0,0,12257,12801,543
3,1030,1,0,12794,13327,533
0,2002,1,0,13327,13327,0
0,2002,1,0,13342,13342,0
6,1999,0,0,12812,13342,530
1,2001,1,0,12800,13349,548
1,2001,1,0,13349,13876,527
3,1030,1,0,13327,13877,549
3,1030,1,0,13877,13877,0
1,2001,1,0,13876,13886,9
3,1030,1,0,13877,13886,9
3,1030,1,0,13886,13886,0
1,2001,1,0,13886,13892,6
3,1030,1,0,13886,13892,6
3,1030,1,0,13892,13892,0
1,2001,1,0,13892,13898,6
3,1030,1,0,13892,13899,6
3,1030,1,0,13899,13899,0
1,2001,1,0,13898,13903,5
3,1030,1,0,13899,13904,5
3,1030,1,0,13904,13904,0
1,2001,1,0,13904,13910,6
3,1030,1,0,13904,13910,6
3,1030,1,0,13910,13910,0
1,2001,1,0,13910,13916,6
3,1030,1,0,13910,13917,6
3,1030,1,0,13917,13917,0
1,2001,1,0,13916,13925,9
3,1030,1,0,13917,13926,8
3,1030,1,0,13926,13926,0
1,2001,1,0,13926,13935,9
3,1030,1,0,13926,13935,8
3,1030,1,0,13935,13935,0
1,2001,1,0,13935,13941,6
0,2002,1,0,13945,13945,0
6,1999,0,0,13359,13946,586
3,1030,1,0,13935,14397,461
0,2002,1,0,14397,14397,0
0,2002,1,0,14403,14403,0
3,1030,1,0,14397,14403,6
0,2002,1,0,14408,14409,0
3,1030,1,0,14403,14409,5
3,1030,1,0,14409,14415,6
0,2002,1,0,14415,14415,0
0,2002,1,0,14424,14425,0
3,1030,1,0,14415,14425,9
0,2002,1,0,14431,14432,0
3,1030,1,0,14425,14432,7
0,2002,1,0,14441,14441,0
3,1030,1,0,14432,14441,9
0,2002,1,0,14448,14448,0
3,1030,1,0,14441,14448,6
0,2002,1,0,14454,14455,0
3,1030,1,0,14448,14455,6
0,2002,1,0,14462,14462,0
3,1030,1,0,14455,14462,7
0,2002,1,0,14472,14472,0
6,1999,0,0,13956,14472,515
1,2001,1,0,13941,14477,536
0,2002,1,0,15003,15004,0
3,1030,1,0,14462,15004,541
1,2001,1,0,14477,15008,530
0,2002,1,0,15011,15011,0
6,1999,0,0,14486,15011,525
3,1030,1,0,15004,15557,552
0,2002,1,0,15556,15557,0
0,2002,1,0,15561,15561,0
3,1030,1,0,15557,15561,4
0,2002,1,0,15567,15567,0
3,1030,1,0,15561,15567,6
0,2002,1,0,15577,15577,0
3,1030,1,0,15567,15577,9
0,2002,1,0,15584,15584,0
3,1030,1,0,15577,15584,6
0,2002,1,0,15593,15593,0
3,1030,1,0,15584,15594,9
0,2002,1,0,15599,15599,0
3,1030,1,0,15594,15599,5
1,2001,1,0,15008,15605,597
0,2002,1,0,15609,15609,0
6,1999,0,0,15021,15609,588
1,2001,1,0,15605,16136,531
3,1030,1,0,15599,16137,537
3,1030,1,0,16137,16137,0
1,2001,1,0,16137,16146,9
3,1030,1,0,16137,16147,9
3,1030,1,0,16147,16147,0
1,2001,1,0,16146,16153,6
3,1030,1,0,16147,16153,6
3,1030,1,0,16153,16153,0
1,2001,1,0,16153,16160,6
3,1030,1,0,16153,16160,6
3,1030,1,0,16160,16160,0
