thread,tag,sender,reciever,begin,end,lifeSpan
3,1030,0,1,28,3273,3245
0,2002,0,1,3272,3273,1
3,1030,0,1,3273,3285,12
0,2002,0,1,3285,3285,0
0,2002,0,1,3295,3295,0
3,1030,0,1,3285,3295,10
0,2002,0,1,3305,3305,0
3,1030,0,1,3295,3305,9
1,2001,0,1,14,3309,3295
0,2002,0,1,3314,3314,0
6,1999,1,1,2799,3314,515
1,2001,0,1,3309,3851,541
3,1030,0,1,3305,3851,545
3,1030,0,1,3851,3851,0
1,2001,0,1,3851,3857,6
3,1030,0,1,3851,3858,6
3,1030,0,1,3858,3858,0
1,2001,0,1,3857,3867,9
3,1030,0,1,3858,3867,9
3,1030,0,1,3867,3868,0
1,2001,0,1,3867,3877,10
3,1030,0,1,3868,3878,10
3,1030,0,1,3878,3878,0
1,2001,0,1,3877,3887,9
3,1030,0,1,3878,3888,10
3,1030,0,1,3888,3888,0
1,2001,0,1,3888,3898,10
3,1030,0,1,3888,3898,10
3,1030,0,1,3898,3898,0
1,2001,0,1,3898,3905,6
3,1030,0,1,3898,3905,7
3,1030,0,1,3905,3905,0
1,2001,0,1,3905,3912,6
3,1030,0,1,3905,3912,6
3,1030,0,1,3912,3912,0
1,2001,0,1,3912,3918,6
3,1030,0,1,3912,3919,6
3,1030,0,1,3919,3919,0
1,2001,0,1,3919,3925,6
3,1030,0,1,3919,3926,6
3,1030,0,1,3926,3926,0
1,2001,0,1,3926,3933,7
3,1030,0,1,3926,3933,7
3,1030,0,1,3933,3933,0
0,2002,0,1,3940,3940,0
6,1999,1,1,3325,3940,615
1,2001,0,1,3933,3940,7
0,2002,0,1,4403,4403,0
3,1030,0,1,3933,4403,469
0,2002,0,1,4412,4412,0
3,1030,0,1,4403,4412,9
0,2002,0,1,4417,4417,0
3,1030,0,1,4412,4417,5
0,2002,0,1,4424,4424,0
3,1030,0,1,4417,4424,6
3,1030,0,1,4424,4430,6
0,2002,0,1,4430,4430,0
3,1030,0,1,4430,4436,5
0,2002,0,1,4436,4436,0
0,2002,0,1,4445,4445,0
3,1030,0,1,4436,4445,8
0,2002,0,1,4454,4454,0
3,1030,0,1,4445,4454,9
0,2002,0,1,4460,4460,0
3,1030,0,1,4454,4460,5
3,1030,0,1,4460,4466,5
0,2002,0,1,4466,4466,0
1,2001,0,1,3940,4470,529
0,2002,0,1,4472,4472,0
6,1999,1,1,3947,4473,525
3,1030,0,1,4466,4970,503
0,2002,0,1,4969,4970,0
3,1030,0,1,4970,4988,18
0,2002,0,1,4988,4988,0
3,1030,0,1,4988,5004,16
0,2002,0,1,5004,5004,0
3,1030,0,1,5004,5022,17
0,2002,0,1,5022,5022,0
3,1030,0,1,5022,5038,16
0,2002,0,1,5038,5038,0
3,1030,0,1,5038,5045,6
0,2002,0,1,5044,5045,0
3,1030,0,1,5045,5059,14
0,2002,0,1,5059,5059,0
1,2001,0,1,4470,5067,597
0,2002,0,1,5068,5068,0
6,1999,1,1,4482,5068,586
1,2001,0,1,5067,5601,533
3,1030,0,1,5059,5601,542
3,1030,0,1,5601,5601,0
1,2001,0,1,5601,5607,6
3,1030,0,1,5601,5607,5
3,1030,0,1,5607,5607,0
1,2001,0,1,5607,5613,6
3,1030,0,1,5607,5614,6
3,1030,0,1,5614,5614,0
1,2001,0,1,5614,5621,7
3,1030,0,1,5614,5621,7
3,1030,0,1,5621,5621,0
1,2001,0,1,5621,5630,9
3,1030,0,1,5621,5631,9
3,1030,0,1,5631,5631,0
0,2002,0,1,5639,5639,0
6,1999,1,1,5082,5639,556
1,2001,0,1,5631,5639,8
1,2001,0,1,5639,6110,470
3,1030,0,1,5631,6110,479
3,1030,0,1,6110,6111,0
1,2001,0,1,6110,6116,5
3,1030,0,1,6111,6117,6
3,1030,0,1,6117,6117,0
1,2001,0,1,6116,6120,3
3,1030,0,1,6117,6120,3
3,1030,0,1,6120,6120,0
1,2001,0,1,6120,6126,6
3,1030,0,1,6120,6127,6
3,1030,0,1,6127,6127,0
1,2001,0,1,6126,6132,5
3,1030,0,1,6127,6132,5
3,1030,0,1,6132,6132,0
1,2001,0,1,6132,6138,6
3,1030,0,1,6132,6139,6
3,1030,0,1,6139,6139,0
1,2001,0,1,6139,6144,5
3,1030,0,1,6139,6145,5
3,1030,0,1,6145,6145,0
1,2001,0,1,6145,6154,9
3,1030,0,1,6145,6154,9
3,1030,0,1,6154,6154,0
1,2001,0,1,6154,6163,8
3,1030,0,1,6154,6163,9
3,1030,0,1,6163,6163,0
1,2001,0,1,6163,6167,3
3,1030,0,1,6163,6167,3
3,1030,0,1,6167,6167,0
0,2002,0,1,6170,6170,0
6,1999,1,1,5649,6170,520
1,2001,0,1,6167,6173,5
0,2002,0,1,6699,6700,0
6,1999,1,1,6181,6700,519
1,2001,0,1,6173,6700,527
3,1030,0,1,6167,7223,1055
0,2002,0,1,7222,7223,0
0,2002,0,1,7226,7227,0
6,1999,1,1,6709,7227,517
1,2001,0,1,6700,7231,530
0,2002,0,1,7723,7723,0
3,1030,0,1,7223,7723,500
3,1030,0,1,7723,7729,6
0,2002,0,1,7729,7729,0
3,1030,0,1,7729,7739,9
0,2002,0,1,7739,7739,0
0,2002,0,1,7746,7746,0
6,1999,1,1,7240,7746,506
1,2001,0,1,7231,7757,525
3,1030,0,1,7739,8297,557
0,2002,0,1,8296,8297,0
3,1030,0,1,8297,8307,10
0,2002,0,1,8307,8307,0
0,2002,0,1,8311,8311,0
3,1030,0,1,8307,8311,3
0,2002,0,1,8318,8319,0
3,1030,0,1,8311,8319,7
0,2002,0,1,8326,8326,0
6,1999,1,1,7766,8326,560
1,2001,0,1,7757,8334,577
1,2001,0,1,8334,8878,544
3,1030,0,1,8319,8879,559
3,1030,0,1,8879,8879,0
1,2001,0,1,8879,8882,3
3,1030,0,1,8879,8882,3
3,1030,0,1,8882,8882,0
1,2001,0,1,8882,8888,6
0,2002,0,1,8889,8889,0
6,1999,1,1,8346,8889,543
1,2001,0,1,8888,9383,495
3,1030,0,1,8882,9384,501
3,1030,0,1,9384,9384,0
1,2001,0,1,9384,9390,6
3,1030,0,1,9384,9390,6
3,1030,0,1,9390,9390,0
1,2001,0,1,9390,9399,9
3,1030,0,1,9390,9399,8
3,1030,0,1,9399,9399,0
1,2001,0,1,9399,9403,3
3,1030,0,1,9399,9403,3
3,1030,0,1,9403,9403,0
1,2001,0,1,9403,9409,5
3,1030,0,1,9403,9409,6
3,1030,0,1,9409,9409,0
1,2001,0,1,9409,9415,5
3,1030,0,1,9409,9416,6
3,1030,0,1,9416,9416,0
1,2001,0,1,9415,9424,8
0,2002,0,1,9424,9424,0
6,1999,1,1,8900,9424,524
1,2001,0,1,9424,9953,529
3,1030,0,1,9416,9954,538
3,1030,0,1,9954,9954,0
0,2002,0,1,9957,9957,0
6,1999,1,1,9432,9957,525
1,2001,0,1,9954,9960,6
0,2002,0,1,10489,10492,3
1,2001,0,1,9960,10492,532
3,1030,0,1,9954,10492,538
0,2002,0,1,10500,10500,0
6,1999,1,1,9972,10502,530
1,2001,0,1,10492,11041,548
3,1030,0,1,10492,11041,548
3,1030,0,1,11041,11041,0
1,2001,0,1,11041,11050,8
3,1030,0,1,11041,11050,8
3,1030,0,1,11050,11050,0
1,2001,0,1,11050,11055,5
3,1030,0,1,11050,11055,4
3,1030,0,1,11055,11055,0
1,2001,0,1,11055,11062,6
3,1030,0,1,11055,11062,6
3,1030,0,1,11062,11062,0
1,2001,0,1,11062,11068,5
3,1030,0,1,11062,11068,5
3,1030,0,1,11068,11068,0
1,2001,0,1,11068,11077,9
3,1030,0,1,11068,11077,9
3,1030,0,1,11077,11077,0
0,2002,0,1,11083,11083,0
6,1999,1,1,10521,11083,561
1,2001,0,1,11077,11084,6
3,1030,0,1,11077,11593,515
0,2002,0,1,11593,11593,0
0,2002,0,1,11597,11597,0
3,1030,0,1,11593,11597,4
0,2002,0,1,11604,11604,0
3,1030,0,1,11597,11604,6
0,2002,0,1,11611,11611,0
3,1030,0,1,11604,11611,6
0,2002,0,1,11620,11621,0
