Job,nodes,ncpus,walltime,qtime,rtime
2094291.vm-pbs,1,1,96:00:00,1:28:47,1:50:49
2086210.vm-pbs,1,1,60:00:00,0:0:1,0:4:15
2069834.vm-pbs,1,1,05:00:00,0:11:20,1:25:57
2068861.vm-pbs,1,12,168:00:00,0:0:1,0:12:37
2075590.vm-pbs,1,1,01:00:00,0:10:38,0:42:57
2075832.vm-pbs,1,1,60:00:00,1:44:19,0:59:10
2068972.vm-pbs,1,8,168:00:00,0:0:1,0:9:19
2091291.vm-pbs,1,1,60:00:00,0:3:5,0:7:3
2091771.vm-pbs,1,1,60:00:00,0:9:20,0:3:6
2069860.vm-pbs,1,1,05:00:00,0:38:15,0:23:54
2070726.vm-pbs,1,1,96:00:00,0:0:0,0:40:4
2073417.vm-pbs,1,1,01:00:00,0:5:39,0:7:58
2089932.vm-pbs,1,1,60:00:00,0:4:35,0:2:21
2081119.vm-pbs,1,1,96:00:00,0:0:2,0:19:12
2072793.vm-pbs,1,1,96:00:00,0:0:1,1:3:22
2073936.vm-pbs,1,1,96:00:00,0:24:34,1:9:13
2087369.vm-pbs,1,1,60:00:00,0:0:1,0:5:29
2094402.vm-pbs,1,1,60:00:00,0:0:5,0:28:17
2069288.vm-pbs,1,1,60:00:00,0:0:0,8:23:46
2072782.vm-pbs,1,1,96:00:00,0:0:0,1:3:58
2093221.vm-pbs,1,1,60:00:00,0:7:23,0:6:1
2093143.vm-pbs,1,1,60:00:00,0:4:36,0:5:22
2074324.vm-pbs,1,1,60:00:00,1:56:37,1:8:59
2088754.vm-pbs,1,1,01:00:00,0:0:1,0:44:37
2085948.vm-pbs,1,1,60:00:00,0:0:1,0:3:26
2071285.vm-pbs,1,1,00:01:00,0:0:12,0:0:36
2084862.vm-pbs,1,1,60:00:00,0:0:1,0:3:41
2075520.vm-pbs,1,1,60:00:00,0:39:35,0:59:7
2068239.vm-pbs,1,1,48:00:00,16:59:39,32:44:26
2090448.vm-pbs,1,1,96:00:00,0:0:1,2:1:38
2082513.vm-pbs,1,1,60:00:00,0:0:1,0:0:27
2091823.vm-pbs,1,1,60:00:00,0:4:47,0:4:58
2088377.vm-pbs,1,1,60:00:00,0:0:1,0:19:10
2090389.vm-pbs,1,1,60:00:00,0:5:18,0:23:7
2092757.vm-pbs,1,1,60:00:00,0:3:53,0:6:0
2080412.vm-pbs,1,1,60:00:00,0:0:1,0:0:5
2068733.vm-pbs,1,1,05:00:00,0:0:0,2:43:10
2066993.vm-pbs,1,12,12:00:00,0:28:16,11:58:48
2079381.vm-pbs,1,1,60:00:00,0:0:1,0:0:0
2081753.vm-pbs,1,1,01:00:00,0:0:1,0:13:23
2074378.vm-pbs,1,1,60:00:00,1:36:46,1:14:36
2088296.vm-pbs,1,1,05:00:00,0:0:1,0:8:5
2087412.vm-pbs,1,1,60:00:00,0:0:1,0:7:0
2093108.vm-pbs,1,1,60:00:00,0:3:55,0:4:38
2081646.vm-pbs,1,1,96:00:00,0:0:33,0:21:12
2075792.vm-pbs,1,1,01:00:00,2:55:47,0:38:1
2090763.vm-pbs,1,1,48:00:00,0:0:1,17:32:13
2092374.vm-pbs,1,1,60:00:00,0:4:31,0:22:42
2086098.vm-pbs,1,1,96:00:00,0:7:20,0:44:46
2084325.vm-pbs,1,1,96:00:00,0:0:1,0:21:6
2087635.vm-pbs,1,1,96:00:00,0:0:1,0:41:25
2067574.vm-pbs,1,12,50:00:00,0:0:2,21:49:19
2087638.vm-pbs,1,1,96:00:00,0:0:1,0:40:4
2074406.vm-pbs,1,1,60:00:00,1:34:16,1:10:53
2071491.vm-pbs,1,1,10:00:00,0:0:1,0:10:39
2085173.vm-pbs,1,1,60:00:00,0:0:0,0:3:57
2084809.vm-pbs,1,1,60:00:00,0:0:1,0:5:8
2076162.vm-pbs,1,1,60:00:00,0:0:0,0:0:26
2091472.vm-pbs,1,1,60:00:00,0:3:31,0:4:16
2071047.vm-pbs,1,1,48:00:00,15:25:17,38:50:37
2069734.vm-pbs,1,12,50:00:00,0:0:1,0:0:48
2082897.vm-pbs,1,1,60:00:00,0:0:1,0:2:6
2077109.vm-pbs,1,1,60:00:00,0:0:1,0:0:4
2090459.vm-pbs,1,1,96:00:00,0:0:1,2:1:37
2089964.vm-pbs,1,1,60:00:00,0:6:54,0:5:30
2091573.vm-pbs,1,1,96:00:00,0:0:1,2:2:33
2091350.vm-pbs,1,1,60:00:00,0:6:32,0:6:43
