thread,begin,end,lifeSpan
0,189,189,0
0,512,512,0
0,568,568,0
0,570,570,0
0,709,709,0
0,1020,1020,0
0,1355,1355,0
0,1478,1478,0
0,1917,1917,0
0,2037,2037,0
0,2116,2116,0
0,2235,2235,0
0,2358,2358,0
0,2436,2436,0
0,2518,2518,0
0,2757,2757,0
0,2840,2840,0
0,2962,2962,0
0,3155,3155,0
0,3338,3338,0
0,3341,3341,0
0,3418,3418,0
0,3625,3625,0
0,3664,3664,0
0,3722,3722,0
0,3792,3792,0
0,3810,3810,0
0,3867,3867,0
0,3871,3871,0
0,3919,3919,0
0,4322,4322,0
0,4493,4493,0
0,4496,4496,0
0,4499,4499,0
0,4501,4501,0
0,4507,4507,0
0,4634,4634,0
0,4763,4763,0
0,4765,4765,0
0,4776,4776,0
0,4845,4845,0
0,4847,4847,0
0,4850,4850,0
0,4854,4854,0
0,5025,5025,0
0,5134,5134,0
0,5152,5152,0
0,5196,5196,0
0,5210,5210,0
0,5283,5283,0
0,5373,5373,0
0,5611,5611,0
0,5613,5613,0
0,5631,5632,1
0,5670,5670,0
0,5672,5672,0
0,5675,5676,0
0,5895,5895,0
0,5971,5971,0
0,6056,6056,0
0,6634,6634,0
0,6636,6636,0
0,6956,6956,0
0,7095,7095,0
0,7195,7195,0
0,7198,7198,0
0,7248,7248,0
0,7277,7277,0
0,7333,7333,0
0,7336,7336,0
0,7338,7338,0
0,7346,7346,0
0,7612,7612,0
0,8052,8052,0
0,8080,8080,0
0,8516,8516,0
0,8785,8785,0
0,8787,8787,0
0,8791,8791,0
0,9013,9013,0
0,9081,9081,0
0,9123,9123,0
0,9243,9243,0
0,9246,9246,0
0,9250,9250,0
0,9253,9253,0
0,9398,9398,0
0,9629,9629,0
0,9742,9742,0
0,9874,9874,0
0,10058,10058,0
0,10183,10183,0
0,10245,10245,0
0,10293,10293,0
0,10367,10367,0
0,10370,10370,0
0,10373,10373,0
0,10376,10376,0
0,10413,10413,0
0,10510,10510,0
0,10613,10613,0
0,10803,10803,0
0,10843,10843,0
0,10845,10845,0
0,10846,10846,0
0,10849,10849,0
0,10851,10851,0
0,10854,10854,0
0,11207,11207,0
0,11283,11283,0
0,11318,11318,0
0,11321,11321,0
0,11399,11399,0
0,11402,11402,0
0,11404,11404,0
0,11448,11448,0
0,11562,11562,0
0,11863,11863,0
0,11953,11953,0
0,12219,12219,0
0,12223,12223,0
0,12263,12263,0
0,12266,12266,0
0,12316,12316,0
0,12318,12318,0
0,12497,12497,0
0,12730,12730,0
0,12825,12825,0
0,13031,13031,0
0,13102,13102,0
0,13289,13289,0
0,13296,13296,0
0,13480,13480,0
0,13667,13667,0
0,13796,13797,0
0,13930,13930,0
0,14127,14127,0
0,14159,14159,0
0,14208,14208,0
0,14282,14282,0
0,14432,14432,0
0,14514,14514,0
0,14523,14523,0
0,14653,14653,0
0,14853,14853,0
0,14939,14939,0
0,15078,15078,0
0,15243,15243,0
0,15247,15248,1
0,15354,15354,0
0,15816,15816,0
