thread,tag,sender,reciever,begin,end,lifeSpan
6,1996,1,1,1961,1961,0
1,2002,1,0,1994,1994,0
1,1030,1,0,1994,1994,0
0,2001,1,0,1995,1995,0
0,1999,1,1,1995,1995,0
1,2002,1,0,1997,1997,0
6,1996,1,1,2000,2000,0
0,2001,1,0,2034,2034,0
3,1030,1,0,2035,2035,0
1,2002,1,0,2035,2035,0
0,2001,1,0,2037,2037,0
0,1999,1,1,2037,2037,0
6,1996,1,1,2042,2042,0
1,2002,1,0,2075,2075,0
1,1030,1,0,2075,2075,0
0,2001,1,0,2076,2076,0
0,1999,1,1,2076,2076,0
1,2002,1,0,2077,2077,0
6,1996,1,1,2081,2081,0
0,2001,1,0,2113,2113,0
3,1030,1,0,2114,2114,0
1,2002,1,0,2114,2114,0
0,2001,1,0,2116,2116,0
0,1999,1,1,2116,2116,0
6,1996,1,1,2120,2120,0
1,2002,1,0,2154,2154,0
0,2001,1,0,2154,2154,0
0,1999,1,1,2154,2154,0
6,1996,1,1,2159,2159,0
1,2002,1,0,2191,2191,0
1,1030,1,0,2191,2191,0
0,2001,1,0,2192,2192,0
0,1999,1,1,2193,2193,0
1,2002,1,0,2194,2194,0
6,1996,1,1,2198,2198,0
0,2001,1,0,2232,2232,0
3,1030,1,0,2233,2233,0
1,2002,1,0,2233,2233,0
0,2001,1,0,2235,2235,0
0,1999,1,1,2235,2235,0
6,1996,1,1,2238,2238,0
1,2002,1,0,2271,2272,0
0,2001,1,0,2272,2272,0
0,1999,1,1,2273,2273,0
6,1996,1,1,2283,2283,0
1,2002,1,0,2315,2315,0
0,2001,1,0,2315,2315,0
0,1999,1,1,2315,2315,0
1,1030,1,0,2316,2316,0
1,2002,1,0,2318,2318,0
6,1996,1,1,2323,2323,0
0,2001,1,0,2356,2356,0
3,1030,1,0,2356,2356,0
1,2002,1,0,2356,2356,0
0,2001,1,0,2358,2358,0
0,1999,1,1,2358,2358,0
6,1996,1,1,2362,2362,0
1,2002,1,0,2394,2394,0
1,1030,1,0,2394,2394,0
0,2001,1,0,2396,2396,0
0,1999,1,1,2396,2396,0
1,2002,1,0,2396,2396,0
6,1996,1,1,2401,2401,0
0,2001,1,0,2433,2433,0
1,2002,1,0,2434,2434,0
3,1030,1,0,2434,2434,0
0,2001,1,0,2436,2436,0
0,1999,1,1,2436,2436,0
6,1996,1,1,2441,2441,0
1,2002,1,0,2473,2473,0
1,1030,1,0,2473,2473,0
0,2001,1,0,2474,2474,0
0,1999,1,1,2474,2474,0
1,2002,1,0,2475,2475,0
6,1996,1,1,2482,2482,0
0,2001,1,0,2516,2516,0
3,1030,1,0,2516,2516,0
1,2002,1,0,2516,2516,0
0,2001,1,0,2518,2518,0
0,1999,1,1,2519,2519,0
6,1996,1,1,2524,2524,0
1,2002,1,0,2558,2558,0
0,2001,1,0,2560,2560,0
0,1999,1,1,2560,2560,0
6,1996,1,1,2565,2565,0
1,2002,1,0,2598,2598,0
0,2001,1,0,2599,2599,0
0,1999,1,1,2599,2599,0
6,1996,1,1,2604,2604,0
1,2002,1,0,2636,2636,0
1,1030,1,0,2637,2637,0
0,2001,1,0,2637,2637,0
0,1999,1,1,2637,2637,0
1,2002,1,0,2639,2639,0
6,1996,1,1,2643,2643,0
0,2001,1,0,2676,2676,0
0,1999,1,1,2676,2676,0
1,2002,1,0,2678,2678,0
6,1996,1,1,2683,2683,0
0,2001,1,0,2715,2715,0
0,1999,1,1,2716,2716,0
1,2002,1,0,2718,2718,0
6,1996,1,1,2723,2723,0
0,2001,1,0,2756,2756,0
3,1030,1,0,2756,2756,0
0,2001,1,0,2757,2757,0
0,1999,1,1,2758,2758,0
1,2002,1,0,2758,2758,0
6,1996,1,1,2763,2763,0
1,2002,1,0,2797,2797,0
0,2001,1,0,2797,2797,0
0,1999,1,1,2797,2797,0
1,1030,1,0,2797,2797,0
1,2002,1,0,2799,2799,0
6,1996,1,1,2804,2804,0
0,2001,1,0,2838,2838,0
3,1030,1,0,2838,2838,0
1,2002,1,0,2839,2839,0
0,2001,1,0,2840,2840,0
0,1999,1,1,2840,2840,0
6,1996,1,1,2846,2846,0
1,2002,1,0,2881,2881,0
0,2001,1,0,2881,2881,0
0,1999,1,1,2882,2882,0
6,1996,1,1,2887,2887,0
1,2002,1,0,2920,2920,0
1,1030,1,0,2920,2920,0
0,2001,1,0,2921,2921,0
0,1999,1,1,2921,2921,0
1,2002,1,0,2922,2922,0
6,1996,1,1,2926,2927,0
0,2001,1,0,2959,2959,0
3,1030,1,0,2960,2960,0
1,2002,1,0,2961,2961,0
0,2001,1,0,2962,2962,0
0,1999,1,1,2962,2962,0
6,1996,1,1,2966,2966,0
1,2002,1,0,2998,2998,0
1,1030,1,0,2998,2998,0
