thread,tag,sender,reciever,begin,end,lifeSpan
3,1030,2,1,3273,3273,0
6,1996,2,2,3283,3283,0
0,2001,2,1,3283,3284,0
0,2001,2,0,3284,3284,0
0,1999,2,2,3295,3295,0
6,1996,2,2,3303,3303,0
0,2001,2,1,3303,3304,0
3,1030,2,1,3311,3312,0
0,2001,2,1,3314,3314,0
3,1030,2,1,3315,3315,0
0,2001,2,1,3317,3317,0
3,1030,2,1,3318,3318,0
0,2001,2,1,3320,3320,0
3,1030,2,1,3321,3321,0
0,2001,2,1,3324,3324,0
3,1030,2,1,3332,3332,0
0,2001,2,1,3333,3333,0
0,2001,2,0,3333,3333,0
3,1030,2,0,3336,3336,0
3,1030,2,0,3337,3337,0
3,1030,2,0,3338,3338,0
0,2001,2,0,3339,3339,0
0,1999,2,2,3339,3339,0
1,2002,2,0,3339,3340,0
1,2002,2,1,3341,3341,0
6,1996,2,2,3354,3354,0
0,2001,2,1,3367,3367,0
3,1030,2,1,3367,3367,0
0,2001,2,1,3369,3369,0
3,1030,2,1,3370,3370,0
0,2001,2,1,3372,3372,0
3,1030,2,1,3372,3373,0
0,2001,2,1,3375,3375,0
0,2001,2,0,3375,3375,0
1,2002,2,0,3381,3381,0
1,2002,2,1,3384,3384,0
3,1030,2,0,3385,3385,0
0,2001,2,0,3386,3386,0
0,1999,2,2,3391,3391,0
6,1996,2,2,3395,3395,0
0,2001,2,1,3414,3414,0
3,1030,2,1,3415,3415,0
3,1030,2,0,3415,3415,0
0,2001,2,1,3418,3418,0
0,2001,2,0,3418,3418,0
0,1999,2,2,3418,3418,0
1,2002,2,1,3419,3419,0
1,2002,2,0,3419,3419,0
6,1996,2,2,3430,3430,0
0,2001,2,1,3451,3451,0
0,2001,2,0,3451,3452,0
0,1999,2,2,3452,3452,0
1,2002,2,1,3453,3453,0
1,2002,2,0,3454,3454,0
6,1996,2,2,3457,3457,0
0,2001,2,1,3479,3479,0
0,2001,2,0,3479,3479,0
0,1999,2,2,3480,3480,0
1,2002,2,1,3481,3481,0
1,2002,2,0,3482,3482,0
6,1996,2,2,3486,3486,0
0,2001,2,1,3508,3508,0
1,2002,2,1,3523,3523,0
1,2002,2,0,3523,3523,0
0,2001,2,0,3523,3523,0
0,1999,2,2,3524,3524,0
6,1996,2,2,3535,3535,0
0,2001,2,1,3557,3557,0
0,2001,2,0,3557,3557,0
0,1999,2,2,3558,3558,0
1,2002,2,1,3558,3558,0
1,2002,2,0,3560,3560,0
6,1996,2,2,3563,3563,0
0,2001,2,1,3585,3585,0
1,2002,2,0,3587,3587,0
3,1030,2,1,3587,3588,1
3,1030,2,1,3588,3588,0
0,2001,2,1,3588,3588,0
0,2001,2,1,3591,3591,0
0,2001,2,0,3591,3591,0
0,1999,2,2,3591,3592,0
3,1030,2,1,3592,3592,0
3,1030,2,1,3592,3593,1
1,2002,2,1,3595,3595,0
6,1996,2,2,3599,3599,0
3,1030,2,0,3623,3623,0
0,2001,2,1,3624,3624,0
0,2001,2,0,3624,3624,0
0,1999,2,2,3624,3624,0
1,2002,2,1,3625,3625,0
1,2002,2,0,3626,3626,0
6,1996,2,2,3639,3639,0
3,1030,2,0,3660,3660,0
1,2002,2,0,3663,3664,1
0,2001,2,1,3664,3664,0
0,2001,2,0,3664,3664,0
0,1999,2,2,3664,3664,0
1,2002,2,1,3665,3665,0
6,1996,2,2,3669,3669,0
1,2002,2,0,3693,3693,0
