thread,tag,sender,reciever,begin,end,lifeSpan
6,1996,0,0,145,145,0
1,2002,0,1,186,186,0
1,1030,0,1,187,187,0
1,2002,0,1,189,189,0
0,2001,0,1,194,194,0
0,1999,0,0,207,207,0
6,1996,0,0,219,219,0
0,2001,0,1,277,277,0
0,1999,0,0,277,277,0
1,2002,0,1,278,278,0
6,1996,0,0,281,281,0
0,2001,0,1,324,324,0
0,1999,0,0,325,325,0
1,2002,0,1,325,325,0
6,1996,0,0,327,327,0
1,2002,0,1,370,370,0
0,2001,0,1,370,370,0
0,1999,0,0,371,371,0
6,1996,0,0,373,373,0
1,2002,0,1,416,416,0
0,2001,0,1,417,417,0
0,1999,0,0,417,417,0
6,1996,0,0,420,420,0
1,2002,0,1,463,463,0
0,2001,0,1,463,463,0
0,1999,0,0,464,464,0
6,1996,0,0,466,466,0
1,2002,0,1,509,509,0
1,1030,0,1,509,509,0
1,2002,0,1,512,512,0
0,2001,0,1,516,516,0
0,1999,0,0,516,516,0
6,1996,0,0,519,519,0
1,2002,0,1,565,565,0
1,1030,0,1,565,565,0
1,2002,0,1,568,568,0
1,1030,0,1,568,568,0
1,2002,0,1,570,570,0
0,2001,0,1,573,573,0
0,1999,0,0,574,574,0
6,1996,0,0,576,576,0
0,2001,0,1,617,617,0
3,1030,0,1,618,618,0
1,2002,0,1,620,620,0
0,2001,0,1,620,620,0
0,1999,0,0,621,621,0
6,1996,0,0,624,624,0
1,2002,0,1,663,663,0
0,2001,0,1,665,665,0
0,1999,0,0,666,666,0
6,1996,0,0,668,668,0
1,2002,0,1,707,707,0
0,2001,0,1,707,707,0
1,1030,0,1,707,707,0
0,1999,0,0,707,707,0
1,2002,0,1,709,709,0
6,1996,0,0,713,713,0
0,2001,0,1,751,751,0
3,1030,0,1,752,752,0
1,2002,0,1,753,753,0
0,2001,0,1,755,755,0
0,1999,0,0,755,755,0
6,1996,0,0,758,758,0
1,2002,0,1,798,798,0
0,2001,0,1,798,798,0
0,1999,0,0,799,799,0
6,1996,0,0,802,802,0
1,2002,0,1,843,843,0
0,2001,0,1,843,843,0
0,1999,0,0,843,843,0
6,1996,0,0,847,847,0
1,2002,0,1,886,886,0
0,2001,0,1,888,888,0
0,1999,0,0,888,888,0
6,1996,0,0,891,891,0
1,2002,0,1,930,930,0
0,2001,0,1,932,932,0
0,1999,0,0,933,933,0
6,1996,0,0,936,936,0
1,2002,0,1,975,975,0
0,2001,0,1,977,977,0
0,1999,0,0,977,977,0
6,1996,0,0,980,980,0
1,2002,0,1,1017,1017,0
1,1030,0,1,1018,1018,0
0,2001,0,1,1019,1019,0
0,1999,0,0,1019,1019,0
1,2002,0,1,1020,1020,0
6,1996,0,0,1024,1024,0
0,2001,0,1,1063,1063,0
3,1030,0,1,1064,1064,0
1,2002,0,1,1064,1064,0
0,2001,0,1,1066,1066,0
0,1999,0,0,1067,1067,0
6,1996,0,0,1070,1070,0
1,2002,0,1,1108,1108,0
0,2001,0,1,1110,1110,0
0,1999,0,0,1111,1111,0
6,1996,0,0,1115,1115,0
0,2001,0,1,1148,1148,0
3,1030,0,1,1149,1149,0
0,2001,0,1,1150,1150,0
3,1030,0,1,1150,1150,0
1,2002,0,1,1151,1151,0
0,2001,0,1,1153,1153,0
0,1999,0,0,1153,1153,0
6,1996,0,0,1157,1157,0
0,2001,0,1,1193,1193,0
1,2002,0,1,1193,1193,0
0,1999,0,0,1193,1193,0
6,1996,0,0,1197,1197,0
0,2001,0,1,1233,1233,0
0,1999,0,0,1233,1233,0
1,2002,0,1,1234,1234,0
6,1996,0,0,1238,1238,0
0,2001,0,1,1274,1274,0
1,2002,0,1,1274,1274,0
0,1999,0,0,1274,1274,0
6,1996,0,0,1278,1278,0
0,2001,0,1,1312,1312,0
1,2002,0,1,1313,1313,0
3,1030,0,1,1313,1313,0
0,2001,0,1,1315,1315,0
0,1999,0,0,1315,1315,0
6,1996,0,0,1319,1319,0
1,2002,0,1,1353,1353,0
1,1030,0,1,1353,1353,0
0,2001,0,1,1354,1354,0
0,1999,0,0,1354,1354,0
1,2002,0,1,1356,1356,0
6,1996,0,0,1360,1360,0
1,2002,0,1,1395,1395,0
0,2001,0,1,1395,1395,0
0,1999,0,0,1396,1396,0
6,1996,0,0,1399,1399,0
1,2002,0,1,1435,1435,0
0,2001,0,1,1437,1437,0
0,1999,0,0,1437,1437,0
6,1996,0,0,1441,1441,0
1,2002,0,1,1475,1475,0
1,1030,0,1,1475,1475,0
0,2001,0,1,1476,1476,0
0,1999,0,0,1476,1476,0
1,2002,0,1,1478,1478,0
6,1996,0,0,1482,1482,0
0,2001,0,1,1517,1517,0
1,2002,0,1,1517,1517,0
3,1030,0,1,1517,1517,0
0,2001,0,1,1519,1519,0
0,1999,0,0,1520,1520,0
6,1996,0,0,1523,1523,0
1,2002,0,1,1558,1558,0
0,2001,0,1,1558,1558,0
0,1999,0,0,1558,1558,0
6,1996,0,0,1562,1562,0
1,2002,0,1,1596,1596,0
0,2001,0,1,1598,1598,0
0,1999,0,0,1598,1598,0
6,1996,0,0,1601,1601,0
1,2002,0,1,1636,1636,0
0,2001,0,1,1637,1637,0
0,1999,0,0,1638,1638,0
6,1996,0,0,1641,1641,0
1,2002,0,1,1676,1676,0
0,2001,0,1,1676,1676,0
0,1999,0,0,1677,1677,0
6,1996,0,0,1680,1680,0
1,2002,0,1,1715,1715,0
0,2001,0,1,1716,1716,0
0,1999,0,0,1717,1717,0
6,1996,0,0,1720,1720,0
1,2002,0,1,1755,1755,0
0,2001,0,1,1757,1757,0
0,1999,0,0,1757,1757,0
6,1996,0,0,1761,1761,0
1,2002,0,1,1796,1796,0
0,2001,0,1,1798,1798,0
0,1999,0,0,1798,1798,0
6,1996,0,0,1801,1801,0
1,2002,0,1,1836,1836,0
0,2001,0,1,1837,1837,0
0,1999,0,0,1837,1837,0
6,1996,0,0,1841,1841,0
1,2002,0,1,1875,1875,0
0,2001,0,1,1877,1877,0
0,1999,0,0,1877,1877,0
6,1996,0,0,1881,1881,0
1,2002,0,1,1915,1915,0
1,1030,0,1,1915,1915,0
0,2001,0,1,1916,1916,0
0,1999,0,0,1916,1916,0
1,2002,0,1,1917,1917,0
6,1996,0,0,1921,1921,0
0,2001,0,1,1956,1956,0
0,1999,0,0,1956,1956,0
1,2002,0,1,1957,1957,0
6,1996,0,0,1961,1961,0
0,2001,0,1,1994,1994,0
3,1030,0,1,1994,1994,0
1,2002,0,1,1995,1995,0
0,2001,0,1,1997,1997,0
0,1999,0,0,1997,1997,0
6,1996,0,0,2000,2000,0
1,2002,0,1,2034,2034,0
1,1030,0,1,2034,2034,0
0,2001,0,1,2035,2035,0
0,1999,0,0,2035,2035,0
1,2002,0,1,2037,2037,0
6,1996,0,0,2042,2042,0
0,2001,0,1,2075,2075,0
3,1030,0,1,2075,2075,0
1,2002,0,1,2076,2076,0
0,2001,0,1,2077,2077,0
0,1999,0,0,2077,2077,0
6,1996,0,0,2081,2081,0
1,2002,0,1,2113,2113,0
1,1030,0,1,2113,2113,0
0,2001,0,1,2114,2114,0
0,1999,0,0,2114,2114,0
1,2002,0,1,2116,2116,0
6,1996,0,0,2120,2120,0
0,2001,0,1,2154,2154,0
0,1999,0,0,2154,2154,0
1,2002,0,1,2154,2154,0
6,1996,0,0,2158,2158,0
0,2001,0,1,2191,2191,0
3,1030,0,1,2191,2191,0
1,2002,0,1,2192,2192,0
0,2001,0,1,2194,2194,0
0,1999,0,0,2194,2194,0
6,1996,0,0,2198,2198,0
1,2002,0,1,2232,2232,0
0,2001,0,1,2232,2232,0
1,1030,0,1,2232,2232,0
0,1999,0,0,2233,2233,0
1,2002,0,1,2235,2235,0
6,1996,0,0,2238,2238,0
0,2001,0,1,2271,2271,0
0,1999,0,0,2272,2272,0
1,2002,0,1,2273,2273,0
6,1996,0,0,2282,2282,0
0,2001,0,1,2314,2314,0
1,2002,0,1,2315,2315,0
3,1030,0,1,2316,2316,0
0,2001,0,1,2318,2318,0
0,1999,0,0,2318,2318,0
6,1996,0,0,2323,2323,0
1,2002,0,1,2356,2356,0
1,1030,0,1,2356,2356,0
0,2001,0,1,2356,2356,0
0,1999,0,0,2356,2356,0
1,2002,0,1,2358,2358,0
6,1996,0,0,2362,2362,0
0,2001,0,1,2394,2394,0
3,1030,0,1,2394,2394,0
1,2002,0,1,2396,2396,0
0,2001,0,1,2396,2396,0
0,1999,0,0,2396,2396,0
6,1996,0,0,2400,2400,0
1,2002,0,1,2433,2433,0
1,1030,0,1,2433,2433,0
0,2001,0,1,2433,2433,0
0,1999,0,0,2434,2434,0
1,2002,0,1,2436,2436,0
6,1996,0,0,2441,2441,0
0,2001,0,1,2472,2472,0
3,1030,0,1,2473,2473,0
1,2002,0,1,2474,2474,0
0,2001,0,1,2475,2475,0
0,1999,0,0,2475,2475,0
6,1996,0,0,2481,2481,0
1,2002,0,1,2516,2516,0
0,2001,0,1,2516,2516,0
1,1030,0,1,2516,2516,0
0,1999,0,0,2516,2516,0
1,2002,0,1,2519,2519,0
6,1996,0,0,2524,2524,0
0,2001,0,1,2558,2558,0
0,1999,0,0,2558,2558,0
1,2002,0,1,2560,2560,0
6,1996,0,0,2565,2565,0
0,2001,0,1,2598,2598,0
0,1999,0,0,2598,2598,0
1,2002,0,1,2599,2599,0
6,1996,0,0,2604,2604,0
0,2001,0,1,2636,2636,0
3,1030,0,1,2637,2637,0
1,2002,0,1,2637,2637,0
0,2001,0,1,2639,2639,0
0,1999,0,0,2639,2639,0
6,1996,0,0,2643,2643,0
1,2002,0,1,2676,2676,0
0,2001,0,1,2678,2678,0
0,1999,0,0,2678,2678,0
6,1996,0,0,2683,2683,0
1,2002,0,1,2716,2716,0
0,2001,0,1,2718,2718,0
0,1999,0,0,2718,2718,0
6,1996,0,0,2723,2723,0
1,2002,0,1,2756,2756,0
1,1030,0,1,2756,2756,0
1,2002,0,1,2758,2758,0
0,2001,0,1,2758,2758,0
0,1999,0,0,2758,2758,0
6,1996,0,0,2762,2762,0
0,2001,0,1,2797,2797,0
1,2002,0,1,2797,2797,0
3,1030,0,1,2797,2797,0
0,2001,0,1,2799,2799,0
0,1999,0,0,2799,2799,0
6,1996,0,0,2804,2804,0
1,2002,0,1,2838,2838,0
1,1030,0,1,2838,2838,0
0,2001,0,1,2839,2839,0
0,1999,0,0,2839,2839,0
1,2002,0,1,2840,2840,0
6,1996,0,0,2846,2846,0
0,2001,0,1,2881,2881,0
0,1999,0,0,2881,2881,0
1,2002,0,1,2881,2881,0
6,1996,0,0,2887,2887,0
0,2001,0,1,2920,2920,0
3,1030,0,1,2920,2920,0
1,2002,0,1,2921,2921,0
0,2001,0,1,2921,2921,0
0,1999,0,0,2922,2922,0
6,1996,0,0,2926,2926,0
1,2002,0,1,2959,2959,0
1,1030,0,1,2960,2960,0
0,2001,0,1,2961,2961,0
0,1999,0,0,2961,2961,0
1,2002,0,1,2962,2962,0
6,1996,0,0,2966,2966,0
0,2001,0,1,2998,2998,0
3,1030,0,1,2998,2998,0
1,2002,0,1,3000,3000,0
0,2001,0,1,3000,3000,0
0,1999,0,0,3000,3000,0
6,1996,0,0,3004,3004,0
1,2002,0,1,3037,3037,0
0,2001,0,1,3039,3039,0
0,1999,0,0,3039,3039,0
6,1996,0,0,3043,3043,0
0,2001,0,1,3076,3076,0
0,1999,0,0,3077,3077,0
1,2002,0,1,3077,3077,0
6,1996,0,0,3081,3081,0
1,2002,0,1,3114,3114,0
0,2001,0,1,3115,3115,0
0,1999,0,0,3115,3115,0
6,1996,0,0,3120,3120,0
1,2002,0,1,3153,3153,0
1,1030,0,1,3153,3153,0
0,2001,0,1,3154,3154,0
0,1999,0,0,3154,3154,0
1,2002,0,1,3155,3155,0
6,1996,0,0,3160,3160,0
0,2001,0,1,3195,3195,0
0,1999,0,0,3195,3195,0
1,2002,0,1,3196,3196,0
6,1996,0,0,3201,3201,0
0,2001,0,1,3235,3235,0
1,2002,0,1,3236,3236,0
0,1999,0,0,3236,3236,0
6,1996,0,0,3239,3239,0
5,10002,0,2,3250,3250,0
5,10003,0,2,3250,3259,9
5,2001,0,0,3259,3259,0
1,1030,0,0,3259,3259,0
1,10000,0,2,3260,3260,0
1,10001,0,2,3260,3260,0
1,1999,0,0,3260,3260,0
6,30000,0,2,3260,3260,0
6,1997,0,0,3261,3261,0
0,1999,0,0,3272,3272,0
0,1999,0,1,3272,3272,0
0,2001,0,1,3272,3272,0
3,1030,0,1,3273,3273,0
6,2001,0,0,3274,3274,0
6,1030,0,0,3274,3274,0
1,2002,0,1,3275,3275,0
0,2001,0,1,3275,3275,0
0,1999,0,0,3275,3275,0
1,2002,0,2,3285,3285,0
6,1996,0,0,3310,3310,0
3,1030,0,1,3310,3310,0
3,1030,0,1,3315,3315,0
3,1030,0,1,3321,3321,0
3,1030,0,1,3321,3321,0
3,1030,0,1,3332,3332,0
1,2002,0,1,3336,3336,0
1,1030,0,1,3336,3336,0
1,1030,0,2,3336,3336,0
1,2002,0,2,3336,3336,0
1,1030,0,1,3336,3336,0
1,1030,0,2,3336,3336,0
1,2002,0,1,3338,3338,0
1,1030,0,1,3338,3338,0
1,1030,0,2,3338,3338,0
1,2002,0,2,3339,3339,0
0,2001,0,2,3339,3339,0
1,2002,0,1,3341,3341,0
0,2001,0,1,3351,3351,0
0,1999,0,0,3351,3351,0
6,1996,0,0,3354,3354,0
3,1030,0,1,3367,3367,0
3,1030,0,1,3370,3370,0
3,1030,0,1,3372,3372,0
0,2001,0,2,3381,3381,0
0,2001,0,1,3381,3381,0
1,2002,0,2,3380,3381,0
0,1999,0,0,3381,3381,0
1,1030,0,1,3384,3384,0
1,1030,0,2,3384,3384,0
