thread,begin,end,lifeSpan
8,207,207,0
8,277,278,1
8,325,325,0
8,371,371,0
8,417,417,0
8,464,464,0
8,516,516,0
8,574,574,0
8,621,621,0
8,666,666,0
8,707,710,2
8,755,755,0
8,799,799,0
8,843,843,0
8,888,888,0
8,933,933,0
8,977,977,0
8,1019,1021,1
8,1067,1067,0
8,1111,1111,0
8,1153,1153,0
8,1193,1193,0
8,1233,1234,1
8,1274,1275,0
8,1315,1315,0
8,1355,1356,1
8,1396,1396,0
8,1437,1437,0
8,1476,1478,1
8,1520,1520,0
8,1558,1558,0
8,1598,1598,0
8,1638,1638,0
8,1677,1677,0
8,1717,1717,0
8,1757,1757,0
8,1798,1798,0
8,1837,1837,0
8,1877,1877,0
8,1916,1918,1
8,1956,1958,1
8,1997,1997,0
8,2035,2037,2
8,2078,2078,0
8,2114,2116,1
8,2154,2155,0
8,2194,2194,0
8,2233,2235,2
8,2272,2273,1
8,2318,2318,0
8,2356,2359,2
8,2396,2396,0
8,2434,2436,2
8,2475,2476,0
8,2516,2519,2
8,2558,2560,1
8,2598,2600,1
8,2639,2639,0
8,2678,2678,0
8,2718,2718,0
8,2758,2758,0
8,2799,2799,0
8,2839,2840,0
8,2881,2882,0
8,2922,2922,0
8,2961,2962,1
8,3001,3001,0
8,3039,3039,0
8,3077,3078,0
8,3115,3115,0
8,3154,3156,1
8,3195,3197,1
8,3236,3236,0
8,3260,3260,0
8,3275,3295,20
8,3352,3352,0
8,3381,3392,10
8,3419,3420,0
8,3454,3454,0
8,3482,3482,0
8,3524,3532,7
8,3560,3560,0
8,3593,3596,2
8,3626,3631,5
8,3663,3666,2
8,3693,3695,1
8,3722,3723,0
8,3754,3761,6
8,3814,3824,9
8,3872,3877,5
8,3928,3928,0
8,3980,4005,24
8,4035,4037,2
8,4065,4068,2
8,4104,4104,0
8,4150,4150,0
8,4180,4181,0
8,4210,4210,0
8,4239,4239,0
8,4278,4291,13
8,4344,4372,28
8,4435,4449,14
8,4520,4520,0
8,4588,4590,2
8,4621,4634,13
8,4671,4671,0
8,4721,4743,22
8,4776,4777,0
8,4821,4821,0
8,4854,4855,0
8,4900,4900,0
8,4933,4933,0
8,4965,4969,3
8,5006,5043,37
8,5090,5091,0
8,5149,5153,3
8,5211,5213,1
8,5303,5319,16
8,5372,5375,3
8,5437,5437,0
8,5503,5504,0
8,5558,5580,22
8,5637,5637,0
8,5691,5692,0
8,5727,5727,0
8,5764,5765,0
8,5798,5801,3
8,5848,5853,4
8,5939,5939,0
8,6019,6020,0
8,6076,6079,3
8,6108,6128,19
8,6164,6164,0
8,6204,6204,0
8,6234,6235,0
8,6265,6265,0
8,6296,6296,0
8,6326,6326,0
8,6357,6358,0
8,6388,6388,0
8,6419,6419,0
8,6449,6449,0
8,6479,6480,0
8,6511,6511,0
8,6539,6551,12
8,6602,6602,0
8,6636,6643,6
8,6690,6697,7
8,6743,6744,0
8,6807,6808,0
8,6855,6859,3
8,6903,6923,20
8,6955,6956,0
8,6984,6995,10
8,7040,7064,23
8,7098,7115,17
8,7152,7163,11
8,7207,7208,0
8,7251,7251,0
8,7304,7304,0
8,7348,7354,6
8,7399,7407,8
8,7480,7480,0
8,7539,7542,3
8,7585,7585,0
8,7630,7640,10
8,7678,7678,0
8,7706,7707,0
8,7735,7735,0
8,7763,7764,0
8,7792,7792,0
8,7820,7821,0
8,7849,7849,0
8,7878,7878,0
8,7924,7924,0
8,7964,7983,19
8,8016,8021,4
8,8051,8052,1
8,8081,8081,0
8,8109,8110,0
8,8159,8159,0
8,8189,8189,0
8,8218,8219,0
8,8247,8248,1
8,8276,8276,0
8,8305,8305,0
8,8333,8336,2
8,8365,8366,0
8,8394,8394,0
8,8423,8424,0
8,8454,8455,1
8,8485,8485,0
8,8522,8532,10
8,8604,8659,55
8,8736,8737,0
8,8795,8812,17
8,8888,8903,15
8,8974,8975,1
8,9024,9024,0
8,9084,9084,0
8,9120,9123,3
8,9170,9171,0
8,9256,9256,0
8,9298,9299,0
8,9336,9345,9
8,9396,9399,2
8,9476,9476,0
8,9509,9509,0
8,9540,9543,3
8,9572,9591,18
8,9638,9651,12
8,9703,9712,9
8,9755,9769,14
8,9805,9810,4
8,9844,9847,3
8,9874,9875,0
8,9905,9905,0
8,9942,9942,0
8,9970,9970,0
8,9998,9998,0
8,10031,10031,0
8,10060,10060,0
8,10095,10119,24
8,10152,10154,1
8,10183,10184,0
8,10213,10213,0
8,10248,10248,0
8,10277,10296,18
8,10344,10344,0
8,10376,10382,5
8,10416,10416,0
8,10459,10467,7
8,10498,10512,13
8,10564,10575,11
8,10637,10637,0
8,10672,10675,3
8,10706,10709,3
8,10752,10760,7
8,10798,10815,17
8,10872,10872,0
8,10935,10935,0
8,10964,10965,0
8,10993,10995,2
8,11024,11025,1
8,11055,11056,1
8,11085,11086,0
8,11115,11118,2
8,11147,11148,1
8,11177,11178,0
8,11207,11208,0
8,11237,11240,2
8,11282,11287,5
8,11321,11322,0
8,11351,11368,17
8,11406,11406,0
8,11445,11448,3
8,11518,11518,0
8,11563,11565,2
8,11624,11624,0
8,11671,11671,0
8,11720,11741,21
8,11790,11790,0
8,11832,11832,0
8,11866,11866,0
8,11908,11915,7
8,11953,11968,14
8,12013,12015,1
8,12083,12083,0
8,12145,12146,1
8,12182,12182,0
8,12231,12231,0
8,12265,12278,13
8,12324,12343,19
8,12401,12402,0
8,12444,12467,23
8,12514,12539,24
8,12584,12587,3
8,12638,12644,5
8,12691,12692,0
8,12728,12776,48
8,12850,12851,0
8,12884,12884,0
8,12928,12933,4
8,12975,12975,0
8,13059,13062,2
8,13114,13115,0
8,13164,13164,0
8,13210,13212,2
8,13256,13256,0
8,13296,13306,10
8,13347,13352,4
8,13395,13403,7
8,13432,13448,15
8,13480,13509,28
8,13575,13575,0
8,13627,13627,0
8,13688,13696,8
8,13732,13760,27
8,13807,13812,4
8,13844,13872,28
8,13902,13902,0
8,13928,13931,2
8,13973,13984,10
8,14023,14027,4
8,14056,14080,24
8,14118,14130,11
8,14166,14166,0
8,14220,14220,0
8,14278,14286,7
8,14328,14328,0
8,14382,14406,23
8,14465,14467,1
8,14520,14546,26
8,14582,14584,2
8,14613,14613,0
8,14652,14662,10
8,14711,14743,32
8,14789,14811,22
8,14875,14883,8
8,14939,14940,0
8,14982,15002,20
8,15033,15036,3
8,15078,15091,13
8,15141,15147,6
8,15197,15220,22
8,15248,15250,1
8,15277,15278,1
8,15320,15321,1
8,15351,15359,8
8,15388,15391,2
8,15419,15421,2
8,15449,15452,2
8,15479,15482,2
8,15509,15513,3
8,15539,15543,3
8,15570,15574,3
8,15601,15604,3
8,15632,15635,3
8,15663,15667,3
8,15695,15698,2
8,15726,15729,2
8,15757,15760,2
8,15788,15789,0
8,15818,15818,0
8,15862,15862,0
8,15890,15890,0
8,15919,15919,0
8,15947,15948,0
8,15975,15975,0
8,16003,16003,0
8,16031,16031,0
8,16060,16060,0
8,16088,16088,0
8,16116,16116,0
8,16145,16145,0
8,16172,16172,0
8,16200,16201,0
8,16228,16228,0
8,16256,16256,0
8,16284,16285,0
8,16313,16313,0
8,16340,16341,0
8,16368,16368,0
8,16396,16396,0
8,16424,16424,0
8,16452,16452,0
8,16480,16480,0
8,16507,16507,0
8,16535,16535,0
8,16563,16563,0
8,16590,16590,0
8,16618,16618,0
8,16645,16645,0
8,16673,16673,0
8,16700,16700,0
8,16727,16727,0
8,16755,16755,0
8,16783,16783,0
8,16810,16810,0
8,16838,16838,0
8,16866,16866,0
8,16894,16894,0
8,16922,16922,0
8,16949,16949,0
8,16977,16977,0
8,17004,17005,0
8,17032,17032,0
8,17060,17061,0
8,17088,17088,0
8,17116,17116,0
8,17144,17144,0
8,17173,17173,0
8,17201,17202,0
8,17230,17230,0
8,17258,17258,0
8,17285,17286,0
8,17314,17314,0
8,17341,17342,0
8,17370,17370,0
8,17397,17398,0
8,17425,17425,0
