thread,begin,end,lifeSpan
8,190,207,17
8,278,278,0
8,325,325,0
8,370,371,1
8,416,417,0
8,463,464,0
8,513,516,3
8,571,574,3
8,620,621,1
8,664,666,2
8,710,710,0
8,753,756,2
8,798,799,0
8,843,844,0
8,886,888,1
8,930,933,3
8,975,977,1
8,1020,1021,0
8,1064,1067,2
8,1109,1111,2
8,1151,1153,2
8,1193,1193,0
8,1234,1234,0
8,1274,1275,0
8,1313,1315,2
8,1356,1356,0
8,1395,1396,0
8,1436,1437,1
8,1478,1478,0
8,1517,1520,2
8,1558,1559,0
8,1597,1598,1
8,1636,1638,1
8,1676,1677,0
8,1715,1717,1
8,1755,1758,2
8,1797,1798,1
8,1837,1837,0
8,1875,1877,2
8,1918,1918,0
8,1957,1958,0
8,1996,1997,1
8,2037,2038,0
8,2076,2078,1
8,2116,2116,0
8,2154,2155,0
8,2193,2195,1
8,2235,2235,0
8,2273,2273,0
8,2316,2318,2
8,2358,2359,0
8,2396,2397,0
8,2436,2436,0
8,2474,2476,1
8,2519,2519,0
8,2560,2560,0
8,2600,2600,0
8,2637,2639,2
8,2676,2678,1
8,2716,2718,2
8,2758,2758,0
8,2797,2799,1
8,2840,2840,0
8,2882,2882,0
8,2921,2922,0
8,2962,2962,0
8,3000,3001,0
8,3037,3039,1
8,3078,3078,0
8,3114,3116,1
8,3156,3156,0
8,3197,3197,0
8,3236,3236,0
8,3260,3260,0
8,3283,3295,12
8,3341,3352,10
8,3384,3392,7
8,3419,3420,0
8,3453,3454,0
8,3482,3482,0
8,3524,3532,7
8,3558,3560,1
8,3596,3596,0
8,3626,3631,5
8,3665,3666,0
8,3694,3695,1
8,3722,3722,0
8,3761,3761,0
8,3814,3824,9
8,3872,3872,0
8,3928,3928,0
8,4005,4005,0
8,4037,4037,0
8,4067,4068,0
8,4104,4104,0
8,4150,4150,0
8,4180,4180,0
8,4210,4210,0
8,4239,4239,0
8,4278,4291,13
8,4333,4372,38
8,4448,4449,1
8,4520,4520,0
8,4587,4590,2
8,4634,4634,0
8,4671,4671,0
8,4723,4743,19
8,4777,4777,0
8,4820,4821,1
8,4854,4855,0
8,4891,4900,8
8,4932,4933,1
8,4969,4969,0
8,5043,5044,0
8,5091,5091,0
8,5152,5152,0
8,5211,5213,1
8,5284,5303,19
8,5373,5375,1
8,5431,5437,5
8,5486,5503,17
8,5550,5571,21
8,5633,5637,4
8,5677,5691,14
8,5721,5727,6
8,5763,5764,1
8,5796,5801,5
8,5830,5853,23
8,5907,5939,32
8,5971,6020,48
8,6056,6079,23
8,6127,6128,0
8,6164,6164,0
8,6198,6204,5
8,6234,6235,0
8,6265,6265,0
8,6295,6296,0
8,6326,6326,0
8,6356,6358,1
8,6387,6388,0
8,6418,6419,0
8,6448,6449,0
8,6479,6480,0
8,6510,6511,0
8,6551,6551,0
8,6602,6602,0
8,6637,6643,6
8,6689,6697,7
8,6730,6743,13
8,6777,6807,30
8,6840,6858,18
8,6903,6923,19
8,6956,6956,0
8,6995,6995,0
8,7040,7064,23
8,7095,7115,19
8,7152,7163,11
8,7200,7208,8
8,7249,7251,2
8,7280,7304,24
8,7347,7354,7
8,7399,7407,8
8,7480,7480,0
8,7539,7542,3
8,7580,7585,4
8,7628,7640,12
8,7677,7678,1
8,7705,7707,1
8,7734,7735,1
8,7762,7764,1
8,7790,7792,1
8,7819,7821,1
8,7848,7849,1
8,7877,7878,0
8,7924,7924,0
8,7979,7983,3
8,8016,8021,4
8,8052,8052,0
8,8081,8081,0
8,8109,8109,0
8,8137,8159,22
8,8189,8189,0
8,8218,8218,0
8,8247,8248,1
8,8276,8276,0
8,8305,8305,0
8,8333,8336,2
8,8365,8366,0
8,8393,8394,0
8,8423,8424,0
8,8454,8455,1
8,8484,8485,0
8,8532,8532,0
8,8631,8659,27
8,8720,8736,16
8,8791,8812,20
8,8875,8903,27
8,8973,8975,1
8,9014,9024,10
8,9084,9084,0
8,9123,9123,0
8,9165,9171,5
8,9253,9256,2
8,9298,9299,0
8,9336,9345,9
8,9399,9399,0
8,9476,9476,0
8,9509,9509,0
8,9543,9543,0
8,9576,9590,14
8,9650,9650,0
8,9703,9712,9
8,9742,9769,27
8,9809,9810,0
8,9835,9847,11
8,9875,9875,0
8,9904,9905,1
8,9942,9942,0
8,9970,9970,0
8,9998,9998,0
8,10025,10031,6
8,10058,10060,1
8,10110,10110,0
8,10154,10154,0
8,10184,10184,0
8,10211,10213,2
8,10245,10248,2
8,10296,10296,0
8,10344,10344,0
8,10376,10382,5
8,10414,10416,2
8,10458,10467,8
8,10511,10512,0
8,10558,10575,16
8,10613,10637,23
8,10675,10675,0
8,10709,10709,0
8,10748,10760,11
8,10815,10815,0
8,10872,10872,0
8,10924,10935,11
8,10964,10965,0
8,10995,10995,0
8,11025,11025,0
8,11056,11056,0
8,11086,11086,0
8,11117,11117,0
8,11147,11148,0
8,11176,11178,1
8,11208,11208,0
8,11240,11240,0
8,11286,11287,0
8,11321,11321,0
8,11351,11368,16
8,11404,11406,1
8,11448,11448,0
8,11514,11518,4
8,11563,11565,1
8,11608,11624,16
8,11663,11671,8
8,11736,11741,5
8,11788,11790,1
8,11832,11832,0
8,11864,11866,2
8,11915,11915,0
8,11967,11967,0
8,12013,12015,1
8,12066,12083,16
8,12145,12145,0
8,12182,12182,0
8,12223,12231,7
8,12268,12278,10
8,12324,12342,18
8,12388,12402,14
8,12444,12467,23
8,12514,12539,25
8,12583,12587,3
8,12635,12643,7
8,12691,12691,0
8,12759,12776,16
8,12844,12851,7
8,12882,12884,1
8,12928,12933,4
8,12960,12975,15
8,13045,13062,17
8,13103,13115,12
8,13164,13164,0
8,13211,13212,0
8,13242,13256,13
8,13296,13306,10
8,13351,13351,0
8,13385,13403,17
8,13447,13447,0
8,13480,13509,28
8,13559,13575,16
8,13617,13627,9
8,13684,13696,11
8,13732,13760,27
8,13797,13811,14
8,13843,13872,28
8,13901,13902,0
8,13930,13931,0
8,13973,13983,10
8,14025,14027,2
8,14080,14080,0
8,14130,14130,0
8,14165,14166,0
8,14220,14220,0
8,14286,14286,0
8,14328,14328,0
8,14384,14406,21
8,14460,14467,6
8,14546,14546,0
8,14583,14584,1
8,14613,14613,0
8,14653,14662,8
8,14728,14743,15
8,14787,14811,24
8,14853,14883,30
8,14940,14940,0
8,15000,15002,2
8,15035,15036,0
8,15079,15091,11
8,15140,15147,6
8,15204,15220,15
8,15249,15250,0
8,15276,15278,2
8,15319,15321,2
8,15359,15359,0
8,15391,15391,0
8,15421,15421,0
8,15452,15452,0
8,15482,15482,0
8,15513,15513,0
8,15543,15543,0
8,15574,15574,0
8,15604,15604,0
8,15635,15635,0
8,15667,15667,0
8,15698,15698,0
8,15729,15729,0
8,15760,15760,0
8,15787,15789,1
8,15816,15818,1
8,15861,15862,1
8,15888,15890,1
8,15918,15919,1
8,15946,15947,1
8,15973,15975,1
8,16002,16003,1
8,16030,16031,1
8,16059,16060,1
8,16087,16088,1
8,16116,16116,0
8,16144,16145,1
8,16171,16172,0
8,16199,16200,1
8,16227,16228,1
8,16255,16256,1
8,16283,16284,1
8,16311,16313,1
8,16339,16341,1
8,16367,16368,1
8,16394,16396,1
8,16422,16424,1
8,16450,16452,1
8,16478,16480,1
8,16506,16507,0
8,16533,16535,1
8,16561,16563,1
8,16589,16590,1
8,16616,16618,1
8,16644,16645,1
8,16671,16673,1
8,16699,16700,1
8,16726,16727,1
8,16753,16755,1
8,16781,16783,1
8,16809,16810,1
8,16837,16838,1
8,16865,16866,1
8,16893,16894,1
8,16921,16922,1
8,16948,16949,1
8,16976,16977,1
8,17003,17005,1
8,17031,17032,1
8,17059,17061,1
8,17087,17088,1
8,17115,17116,0
8,17143,17144,1
8,17172,17173,1
8,17200,17202,1
8,17229,17230,1
8,17257,17258,1
8,17284,17286,1
