thread,begin,end,lifeSpan
8,3295,3295,0
8,3339,3352,12
8,3391,3391,0
8,3418,3420,1
8,3452,3454,2
8,3480,3482,2
8,3531,3531,0
8,3558,3560,2
8,3592,3596,4
8,3624,3632,7
8,3665,3666,1
8,3695,3695,0
8,3722,3722,0
8,3753,3761,7
8,3801,3815,13
8,3868,3872,3
8,3928,3928,0
8,4004,4005,1
8,4037,4037,0
8,4068,4068,0
8,4101,4106,4
8,4148,4150,1
8,4178,4180,2
8,4208,4210,2
8,4237,4240,2
8,4287,4287,0
8,4371,4371,0
8,4449,4449,0
8,4504,4520,16
8,4590,4590,0
8,4621,4634,13
8,4667,4672,4
8,4738,4739,0
8,4776,4777,1
8,4821,4821,0
8,4854,4855,0
8,4890,4900,9
8,4932,4934,1
8,4965,4969,4
8,5024,5043,19
8,5090,5091,0
8,5144,5153,9
8,5213,5213,0
8,5291,5303,11
8,5375,5375,0
8,5423,5437,13
8,5489,5504,14
8,5557,5571,13
8,5635,5637,1
8,5677,5692,14
8,5719,5727,7
8,5761,5764,3
8,5793,5802,8
8,5841,5853,12
8,5911,5939,28
8,5973,6020,46
8,6076,6080,3
8,6128,6128,0
8,6164,6164,0
8,6196,6204,7
8,6232,6235,2
8,6263,6265,2
8,6294,6296,2
8,6324,6326,2
8,6355,6358,2
8,6386,6388,2
8,6417,6419,2
8,6447,6449,2
8,6478,6480,1
8,6508,6511,2
8,6540,6551,11
8,6600,6602,2
8,6643,6643,0
8,6697,6697,0
8,6731,6743,12
8,6778,6807,29
8,6842,6859,16
8,6923,6923,0
8,6955,6956,1
8,6983,6995,12
8,7063,7063,0
8,7115,7115,0
8,7163,7163,0
8,7197,7207,10
8,7251,7251,0
8,7298,7305,7
8,7353,7354,1
8,7399,7407,8
8,7456,7480,24
8,7542,7542,0
8,7585,7585,0
8,7640,7640,0
8,7677,7678,1
8,7704,7707,2
8,7733,7735,2
8,7761,7764,2
8,7789,7792,2
8,7818,7821,2
8,7847,7849,2
8,7875,7878,2
8,7908,7924,16
8,7983,7983,0
8,8020,8020,0
8,8050,8052,2
8,8079,8081,1
8,8108,8110,1
8,8136,8160,23
8,8189,8189,0
8,8218,8219,0
8,8248,8248,0
8,8276,8277,0
8,8305,8305,0
8,8336,8336,0
8,8365,8365,0
8,8394,8394,0
8,8424,8424,0
8,8455,8455,0
8,8485,8485,0
8,8532,8532,0
8,8659,8659,0
8,8736,8737,0
8,8812,8812,0
8,8876,8923,47
8,8975,8975,0
8,9024,9024,0
8,9079,9084,5
8,9120,9123,3
8,9165,9180,14
8,9254,9256,2
8,9299,9299,0
8,9339,9339,0
8,9395,9403,7
8,9476,9476,0
8,9506,9509,2
8,9541,9543,2
8,9590,9590,0
8,9629,9651,22
8,9712,9712,0
8,9769,9769,0
8,9804,9810,5
8,9847,9847,0
8,9875,9875,0
8,9902,9906,3
8,9940,9942,2
8,9968,9971,2
8,9996,9999,2
8,10031,10031,0
8,10058,10060,1
8,10110,10110,0
8,10153,10154,0
8,10184,10184,0
8,10211,10213,2
8,10248,10248,0
8,10278,10296,18
8,10344,10344,0
8,10382,10382,0
8,10414,10416,1
8,10467,10467,0
8,10500,10512,11
8,10559,10576,16
8,10627,10637,9
8,10673,10675,1
8,10709,10709,0
8,10759,10759,0
8,10804,10815,11
8,10872,10872,0
8,10924,10936,11
8,10965,10965,0
8,10995,10995,0
8,11025,11025,0
8,11056,11056,0
8,11086,11086,0
8,11117,11117,0
8,11148,11148,0
8,11177,11177,0
8,11208,11208,0
8,11236,11240,3
8,11287,11287,0
8,11321,11321,0
8,11368,11368,0
8,11406,11406,0
8,11446,11462,16
8,11514,11519,4
8,11565,11565,0
8,11610,11624,13
8,11663,11671,7
8,11736,11736,0
8,11788,11790,1
8,11832,11832,0
8,11865,11867,2
8,11908,11915,7
8,11952,11968,15
8,12015,12015,0
8,12070,12083,12
8,12144,12145,0
8,12180,12182,2
8,12228,12231,3
8,12278,12278,0
8,12342,12343,0
8,12402,12402,0
8,12451,12451,0
8,12514,12539,24
8,12587,12587,0
8,12643,12644,0
8,12690,12692,2
8,12776,12776,0
8,12851,12851,0
8,12881,12884,2
8,12932,12932,0
8,12961,12975,14
8,13045,13062,17
8,13114,13115,0
8,13164,13164,0
8,13212,13212,0
8,13256,13256,0
8,13296,13296,0
8,13345,13352,6
8,13402,13403,0
8,13447,13447,0
8,13509,13509,0
8,13574,13583,9
8,13627,13627,0
8,13688,13696,8
8,13759,13759,0
8,13795,13812,16
8,13872,13872,0
8,13902,13902,0
8,13930,13931,0
8,13973,13983,10
8,14027,14027,0
8,14057,14080,22
8,14116,14130,13
8,14165,14166,0
8,14220,14220,0
8,14278,14286,7
8,14328,14328,0
8,14400,14400,0
8,14457,14478,21
8,14524,14546,22
8,14584,14584,0
8,14613,14613,0
8,14662,14662,0
8,14743,14743,0
8,14808,14808,0
8,14851,14883,32
8,14939,14940,0
8,15002,15002,0
8,15036,15036,0
8,15080,15080,0
8,15143,15143,0
8,15219,15220,0
8,15250,15250,0
8,15278,15278,0
8,15321,15321,0
8,15351,15360,8
8,15388,15391,2
8,15420,15421,1
8,15449,15452,2
8,15480,15482,2
8,15510,15513,2
8,15541,15543,2
8,15571,15574,2
8,15603,15604,1
8,15633,15635,2
8,15664,15667,2
8,15696,15698,1
8,15727,15729,2
8,15758,15760,2
8,15789,15789,0
8,15816,15818,1
8,15860,15862,2
8,15888,15890,2
8,15917,15919,2
8,15946,15948,1
8,15973,15975,2
8,16001,16003,2
8,16029,16032,2
8,16058,16060,2
8,16086,16089,2
8,16115,16117,1
8,16142,16145,2
8,16171,16173,1
8,16198,16201,2
8,16227,16229,1
8,16255,16256,1
8,16283,16285,1
8,16312,16313,0
8,16340,16341,0
8,16367,16368,1
8,16394,16396,2
8,16422,16424,1
8,16450,16452,1
8,16479,16480,1
8,16505,16507,1
8,16533,16535,1
8,16561,16563,1
8,16588,16590,2
8,16617,16618,0
8,16644,16646,1
8,16670,16673,2
8,16698,16700,1
8,16725,16728,2
8,16754,16755,0
8,16781,16783,2
8,16809,16810,1
8,16836,16838,1
8,16864,16867,2
8,16893,16894,1
8,16922,16922,0
8,16948,16949,1
8,16976,16977,1
8,17003,17005,1
8,17030,17032,1
8,17059,17061,2
8,17088,17088,0
8,17114,17116,1
8,17142,17144,2
8,17171,17173,1
8,17201,17202,1
8,17228,17230,1
8,17256,17258,1
8,17283,17286,2
8,17312,17314,1
8,17340,17342,1
8,17369,17370,0
8,17397,17398,1
8,17424,17425,0
