thread,begin,end,lifeSpan
8,3262,3283,21
8,3295,3296,0
8,3302,3303,1
8,3352,3352,0
8,3354,3354,0
8,3391,3392,0
8,3394,3395,0
8,3420,3420,0
8,3429,3430,0
8,3454,3455,0
8,3457,3457,0
8,3482,3482,0
8,3485,3486,0
8,3531,3532,0
8,3535,3535,0
8,3560,3561,0
8,3563,3563,0
8,3596,3596,0
8,3598,3599,0
8,3632,3632,0
8,3638,3639,0
8,3666,3666,0
8,3668,3669,0
8,3695,3695,0
8,3698,3698,0
8,3722,3723,0
8,3725,3725,0
8,3761,3766,5
8,3769,3775,6
8,3815,3824,9
8,3826,3837,10
8,3872,3883,11
8,3891,3891,0
8,3928,3928,0
8,3931,3956,25
8,4005,4006,0
8,4009,4011,2
8,4037,4038,0
8,4040,4041,1
8,4068,4068,0
8,4072,4073,0
8,4106,4107,0
8,4124,4124,0
8,4150,4151,0
8,4154,4154,0
8,4180,4181,0
8,4183,4183,0
8,4210,4211,0
8,4213,4213,0
8,4240,4240,0
8,4242,4242,0
8,4287,4292,4
8,4297,4297,0
8,4371,4375,3
8,4391,4403,12
8,4449,4458,9
8,4473,4473,0
8,4520,4520,0
8,4560,4560,0
8,4590,4591,0
8,4594,4594,0
8,4634,4635,0
8,4637,4637,0
8,4672,4672,0
8,4688,4689,0
8,4739,4743,4
8,4746,4747,0
8,4777,4777,0
8,4789,4789,0
8,4821,4822,0
8,4826,4827,1
8,4855,4855,0
8,4865,4865,0
8,4900,4901,0
8,4906,4907,0
8,4934,4934,0
8,4939,4940,0
8,4969,4970,0
8,4981,4982,1
8,5043,5047,3
8,5050,5050,0
8,5091,5091,0
8,5113,5113,0
8,5153,5167,14
8,5170,5170,0
8,5213,5243,30
8,5245,5246,1
8,5303,5319,15
8,5333,5340,7
8,5375,5376,0
8,5381,5382,1
8,5437,5437,0
8,5453,5453,0
8,5504,5504,0
8,5509,5515,5
8,5571,5580,9
8,5591,5607,16
8,5637,5638,0
8,5642,5655,12
8,5692,5692,0
8,5693,5695,1
8,5727,5728,0
8,5736,5737,0
8,5764,5765,0
8,5768,5769,1
8,5802,5802,0
8,5805,5805,0
8,5853,5853,0
8,5856,5864,7
8,5939,5940,0
8,5943,5944,0
8,6020,6020,0
8,6026,6033,6
8,6080,6080,0
8,6083,6083,0
8,6128,6128,0
8,6134,6138,3
8,6164,6164,0
8,6171,6172,0
8,6204,6204,0
8,6207,6208,0
8,6235,6236,0
8,6238,6239,0
8,6265,6266,0
8,6269,6269,0
8,6296,6297,0
8,6299,6299,0
8,6326,6327,0
8,6330,6330,0
8,6358,6358,0
8,6361,6361,0
8,6388,6389,0
8,6392,6392,0
8,6419,6419,0
8,6422,6422,0
