servers's processes start in 16:07:18
iteration 0::  70.6319 ms
iteration 1::  63.7273 ms
iteration 2::  45.6631 ms
iteration 3::  45.6605 ms
iteration 4::  46.2482 ms
iteration 5::  45.8053 ms
iteration 6::  51.9077 ms
iteration 7::  57.0841 ms
iteration 8::  47.0493 ms
iteration 9::  44.1507 ms
iteration 10::  43.2127 ms
iteration 11::  45.3914 ms
iteration 12::  42.6475 ms
iteration 13::  44.6563 ms
iteration 14::  44.0262 ms
iteration 15::  44.3681 ms
iteration 16::  43.7527 ms
iteration 17::  42.7985 ms
iteration 18::  45.9898 ms
iteration 19::  43.9242 ms
iteration 20::  40.7847 ms
iteration 21::  40.3097 ms
iteration 22::  40.35 ms
iteration 23::  40.4009 ms
iteration 24::  40.0118 ms
iteration 25::  39.9216 ms
iteration 26::  39.3325 ms
iteration 27::  40.6108 ms
iteration 28::  40.5983 ms
iteration 29::  40.8046 ms
iteration 30::  38.6962 ms
iteration 31::  38.9394 ms
iteration 32::  39.0389 ms
iteration 33::  38.3229 ms
iteration 34::  39.4942 ms
iteration 35::  40.5253 ms
iteration 36::  39.988 ms
iteration 37::  38.5503 ms
iteration 38::  39.4912 ms
iteration 39::  40.2938 ms
iteration 40::  39.142 ms
iteration 41::  38.9463 ms
iteration 42::  39.7116 ms
iteration 43::  39.3443 ms
iteration 44::  37.7167 ms
iteration 45::  38.2122 ms
iteration 46::  39.4765 ms
iteration 47::  40.0059 ms
iteration 48::  43.2991 ms
iteration 49::  38.9787 ms
iteration 50::  40.3284 ms
iteration 51::  37.272 ms
iteration 52::  39.1949 ms
iteration 53::  39.2997 ms
iteration 54::  43.5382 ms
iteration 55::  40.6459 ms
iteration 56::  38.9471 ms
iteration 57::  39.219 ms
iteration 58::  38.8345 ms
iteration 59::  40.3666 ms
iteration 60::  39.3797 ms
iteration 61::  40.5245 ms
iteration 62::  40.6781 ms
iteration 63::  41.8285 ms
iteration 64::  39.5309 ms
iteration 65::  39.9657 ms
iteration 66::  38.2218 ms
iteration 67::  37.8022 ms
iteration 68::  38.6479 ms
iteration 69::  37.4526 ms
iteration 70::  39.962 ms
iteration 71::  40.49 ms
iteration 72::  39.4367 ms
iteration 73::  65.324 ms
iteration 74::  49.4046 ms
iteration 75::  39.7984 ms
iteration 76::  35.2725 ms
iteration 77::  27.0692 ms
iteration 78::  27.7797 ms
iteration 79::  48.9777 ms
iteration 80::  28.2441 ms
iteration 81::  35.4521 ms
iteration 82::  39.9397 ms
iteration 83::  29.3938 ms
iteration 84::  29.3414 ms
iteration 85::  26.3351 ms
iteration 86::  44.4285 ms
iteration 87::  56.2074 ms
iteration 88::  64.2796 ms
iteration 89::  40.6757 ms
iteration 90::  75.8997 ms
iteration 91::  31.5769 ms
iteration 92::  30.126 ms
iteration 93::  37.7503 ms
iteration 94::  43.7153 ms
iteration 95::  29.4632 ms
iteration 96::  29.4189 ms
iteration 97::  28.8856 ms
iteration 98::  54.974 ms
iteration 99::  84.2017 ms
iteration 100::  91.1766 ms
iteration 101::  87.3756 ms
iteration 102::  32.0107 ms
iteration 103::  43.7072 ms
iteration 104::  36.5102 ms
iteration 105::  71.7779 ms
iteration 106::  38.351 ms
iteration 107::  39.8727 ms
iteration 108::  32.9218 ms
iteration 109::  44.8307 ms
iteration 110::  32.8621 ms
iteration 111::  36.1378 ms
iteration 112::  76.3493 ms
iteration 113::  43.7949 ms
iteration 114::  75.5988 ms
iteration 115::  76.2028 ms
iteration 116::  84.6238 ms
iteration 117::  49.3518 ms
iteration 118::  66.3221 ms
iteration 119::  61.6966 ms
iteration 120::  80.6952 ms
iteration 121::  50.0869 ms
iteration 122::  50.7026 ms
iteration 123::  35.3448 ms
iteration 124::  37.7343 ms
iteration 125::  36.9299 ms
iteration 126::  51.1442 ms
iteration 127::  84.1899 ms
iteration 128::  80.5451 ms
iteration 129::  58.7968 ms
iteration 130::  50.9866 ms
iteration 131::  32.4926 ms
iteration 132::  38.934 ms
iteration 133::  30.5963 ms
iteration 134::  29.9952 ms
iteration 135::  30.5098 ms
iteration 136::  30.1548 ms
iteration 137::  31.2351 ms
iteration 138::  30.291 ms
iteration 139::  30.215 ms
iteration 140::  29.7541 ms
iteration 141::  30.8237 ms
iteration 142::  30.4263 ms
iteration 143::  41.4255 ms
iteration 144::  50.3131 ms
iteration 145::  55.3568 ms
iteration 146::  39.9552 ms
iteration 147::  46.0174 ms
iteration 148::  62.243 ms
iteration 149::  49.6924 ms
iteration 150::  61.7005 ms
iteration 151::  32.6619 ms
iteration 152::  47.8028 ms
iteration 153::  58.7284 ms
iteration 154::  51.5051 ms
iteration 155::  47.6952 ms
iteration 156::  46.3 ms
iteration 157::  41.1319 ms
iteration 158::  53.5271 ms
iteration 159::  47.8433 ms
iteration 160::  58.6193 ms
iteration 161::  66.234 ms
iteration 162::  62.4436 ms
iteration 163::  42.6955 ms
iteration 164::  64.4358 ms
iteration 165::  26.7282 ms
iteration 166::  28.0282 ms
iteration 167::  28.2998 ms
iteration 168::  28.3777 ms
iteration 169::  27.9492 ms
iteration 170::  28.7031 ms
iteration 171::  28.1646 ms
iteration 172::  28.3521 ms
iteration 173::  45.7278 ms
iteration 174::  59.3121 ms
iteration 175::  37.1563 ms
iteration 176::  31.8122 ms
iteration 177::  27.6313 ms
iteration 178::  27.4855 ms
iteration 179::  50.6986 ms
iteration 180::  27.9922 ms
iteration 181::  28.7259 ms
iteration 182::  29.0976 ms
iteration 183::  27.917 ms
iteration 184::  29.6065 ms
iteration 185::  30.7028 ms
iteration 186::  29.6342 ms
iteration 187::  27.1438 ms
iteration 188::  28.8829 ms
iteration 189::  31.3646 ms
iteration 190::  29.7069 ms
iteration 191::  65.5712 ms
iteration 192::  119.656 ms
iteration 193::  66.9155 ms
iteration 194::  76.6923 ms
iteration 195::  106.507 ms
iteration 196::  51.3485 ms
iteration 197::  68.4813 ms
iteration 198::  40.0832 ms
iteration 199::  38.2186 ms
iteration 200::  70.0025 ms
iteration 201::  60.5447 ms
iteration 202::  41.2108 ms
iteration 203::  63.5489 ms
iteration 204::  46.4861 ms
iteration 205::  64.4318 ms
iteration 206::  32.6128 ms
iteration 207::  33.5628 ms
