thread,begin,end,lifeSpan
8,2797,2799,1
8,3314,3314,0
8,3325,3325,0
8,3940,3940,0
8,3946,3947,0
8,4473,4473,0
8,4480,4482,2
8,5068,5068,0
8,5075,5082,7
8,5639,5640,0
8,5649,5649,0
8,6173,6173,0
8,6180,6181,0
8,6701,6701,0
8,6709,6709,0
8,7231,7231,0
8,7239,7240,0
8,7757,7757,0
8,7766,7766,0
8,8334,8334,0
8,8345,8346,0
8,8890,8890,0
8,8899,8900,0
8,9424,9424,0
8,9432,9432,0
8,9960,9961,1
8,9972,9972,0
8,10502,10503,0
8,10509,10521,12
8,11084,11084,0
8,11089,11097,7
8,11647,11647,0
8,11652,11656,4
8,12251,12251,0
8,12255,12257,1
8,12801,12801,0
8,12806,12811,5
8,13349,13349,0
8,13354,13359,4
8,13946,13946,0
8,13951,13956,5
8,14477,14478,0
8,14483,14486,2
8,15011,15011,0
8,15019,15021,1
8,15609,15609,0
8,15622,15622,0
8,16176,16176,0
8,16184,16188,3
8,16693,16693,0
8,16700,16702,1
8,17225,17226,0
8,17236,17236,0
8,17908,17909,0
8,17917,17920,2
8,18451,18451,0
8,18459,18460,1
8,18994,18994,0
8,19002,19004,2
8,19513,19513,0
8,19522,19522,0
8,20040,20040,0
8,20047,20049,1
8,20569,20569,0
8,20576,20579,2
8,21121,21121,0
8,21131,21132,0
8,21680,21680,0
8,21688,21689,0
8,22214,22214,0
8,22231,22231,0
8,22818,22818,0
8,22823,22826,3
8,23389,23390,0
8,23396,23399,3
8,23940,23940,0
8,23947,23949,1
8,24458,24458,0
8,24466,24466,0
8,24996,24996,0
8,25004,25004,0
8,25527,25527,0
8,25546,25546,0
8,26061,26061,0
8,26069,26073,4
8,26605,26605,0
8,26615,26615,0
8,27215,27215,0
8,27223,27226,3
8,27806,27806,0
8,27816,27816,0
8,28373,28373,0
8,28380,28383,2
8,28981,28981,0
8,28988,28992,3
8,29530,29530,0
8,29537,29539,2
8,30041,30041,0
8,30050,30051,0
8,30567,30568,0
8,30576,30577,1
8,31107,31107,0
8,31123,31124,0
8,31614,31614,0
8,31620,31622,1
8,32100,32100,0
8,32107,32115,8
8,32591,32591,0
8,32598,32605,6
8,33184,33184,0
8,33194,33197,2
8,33793,33793,0
8,33798,33800,2
8,34344,34344,0
8,34351,34351,0
8,34852,34852,0
8,34858,34859,1
8,35441,35441,0
8,35447,35447,0
8,35971,35971,0
8,35979,35979,0
8,36584,36586,1
8,36605,36605,0
8,37123,37123,0
8,37128,37129,0
8,37690,37690,0
8,37700,37702,2
8,38231,38231,0
8,38243,38243,0
8,38853,38853,0
8,38863,38863,0
8,39481,39482,1
8,39494,39494,0
8,40033,40034,0
8,40039,40042,2
8,40564,40564,0
8,40574,40574,0
8,41091,41091,0
8,41099,41100,1
8,41631,41631,0
8,41642,41643,0
8,42237,42237,0
8,42247,42247,0
8,42769,42769,0
8,42777,42778,0
8,43258,43259,0
8,43264,43268,4
8,43755,43755,0
8,43759,43766,6
8,44261,44261,0
8,44267,44274,7
8,44753,44753,0
8,44758,44764,5
8,45343,45343,0
8,45350,45354,4
8,45883,45883,0
8,45890,45894,3
8,46409,46409,0
8,46419,46420,0
8,46994,46995,0
8,47004,47008,3
8,47624,47624,0
8,47632,47637,4
8,48211,48211,0
8,48218,48221,2
8,48792,48792,0
8,48801,48803,2
8,49358,49358,0
8,49369,49371,1
8,49918,49918,0
8,49928,49928,0
8,50492,50493,0
8,50503,50506,3
8,51090,51090,0
8,51101,51102,1
8,51688,51688,0
8,51701,51703,2
8,52266,52266,0
8,52275,52282,6
8,52915,52915,0
8,52923,52929,5
8,53493,53494,0
8,53503,53506,2
8,54035,54035,0
8,54044,54047,2
8,54570,54570,0
8,54582,54584,2
8,55211,55211,0
8,55222,55225,2
8,55828,55828,0
8,55840,55840,0
8,56398,56398,0
8,56406,56406,0
8,56905,56905,0
8,56915,56915,0
8,57411,57411,0
8,57421,57421,0
8,57915,57915,0
8,57924,57925,1
8,58428,58428,0
8,58439,58439,0
8,58980,58981,0
8,58992,58992,0
8,59519,59519,0
8,59531,59531,0
8,60135,60135,0
8,60143,60143,0
8,60670,60670,0
8,60678,60680,1
8,61210,61210,0
8,61221,61221,0
8,61770,61770,0
8,61779,61780,1
8,62286,62286,0
8,62297,62297,0
8,62816,62817,0
8,62827,62827,0
8,63426,63426,0
8,63433,63436,2
8,63993,63993,0
8,64002,64004,2
8,64608,64608,0
8,64617,64618,0
8,65155,65155,0
8,65164,65165,0
8,65740,65741,0
8,65749,65752,2
8,66280,66280,0
8,66285,66289,3
8,66816,66816,0
8,66822,66827,5
8,67398,67398,0
8,67402,67404,2
8,67935,67935,0
8,67946,67954,7
8,68490,68491,1
8,68503,68503,0
8,69036,69038,1
8,69048,69049,0
8,69562,69562,0
8,69578,69579,0
8,70132,70133,1
8,70143,70143,0
8,70652,70653,0
8,70661,70661,0
8,71196,71196,0
8,71206,71206,0
8,71714,71714,0
8,71724,71724,0
8,72304,72304,0
8,72313,72313,0
8,72892,72892,0
8,72901,72904,2
8,73515,73516,0
8,73524,73524,0
8,74066,74066,0
8,74074,74075,0
8,74659,74659,0
8,74669,74669,0
8,75202,75203,0
8,75210,75213,3
8,75780,75780,0
8,75792,75792,0
8,76461,76461,0
8,76471,76471,0
8,77013,77013,0
8,77022,77023,1
8,77555,77555,0
8,77561,77565,4
8,78125,78125,0
8,78131,78136,5
8,78763,78763,0
8,78771,78774,3
8,79377,79377,0
8,79383,79387,3
8,80045,80045,0
8,80052,80053,0
8,80650,80650,0
8,80656,80656,0
8,81210,81210,0
8,81217,81217,0
8,81800,81800,0
8,81806,81813,6
8,82362,82369,7
8,82382,82382,0
8,83001,83001,0
8,83009,83009,0
8,83624,83625,1
8,83640,83641,1
8,84205,84208,2
8,84225,84225,0
8,84736,84739,2
8,84754,84754,0
8,85271,85273,2
8,85289,85289,0
8,85868,85871,2
8,85886,85886,0
8,86457,86459,2
8,86475,86475,0
8,86992,86995,2
8,87010,87010,0
8,87556,87559,2
8,87574,87574,0
8,88145,88147,1
8,88159,88159,0
8,88680,88681,1
8,88696,88698,1
8,89214,89214,0
8,89230,89231,0
8,89801,89803,2
8,89818,89819,1
8,90399,90401,2
8,90419,90419,0
8,91015,91018,2
8,91038,91038,0
8,91623,91623,0
8,91632,91636,3
8,92251,92252,1
8,92263,92263,0
8,92819,92819,0
8,92835,92835,0
8,93345,93348,2
8,93365,93365,0
8,93859,93861,2
8,93875,93876,0
8,94370,94372,2
8,94388,94388,0
8,94882,94884,2
8,94901,94901,0
8,95399,95401,2
8,95417,95417,0
8,95946,95948,2
8,95965,95965,0
8,96510,96513,2
8,96525,96525,0
8,97029,97029,0
8,97039,97041,1
8,97604,97604,0
8,97615,97615,0
8,98241,98241,0
8,98251,98251,0
8,98901,98901,0
8,98909,98909,0
8,99453,99453,0
8,99467,99467,0
8,100098,100099,0
8,100103,100106,2
8,100692,100692,0
8,100700,100702,1
8,101287,101287,0
8,101298,101300,2
8,101834,101834,0
8,101843,101846,2
8,102394,102394,0
8,102405,102407,2
8,102937,102937,0
8,102949,102949,0
8,103610,103610,0
8,103622,103623,0
8,104280,104280,0
8,104292,104292,0
8,104899,104900,1
8,104939,104939,0
8,105502,105502,0
8,105510,105513,3
8,106153,106153,0
8,106163,106166,2
8,106768,106768,0
8,106783,106783,0
8,107390,107390,0
8,107404,107405,0
8,107945,107945,0
8,107959,107959,0
8,108490,108490,0
8,108503,108503,0
8,109125,109125,0
8,109137,109138,0
8,109787,109787,0
8,109797,109799,2
8,110409,110409,0
8,110420,110420,0
8,110949,110949,0
8,110960,110960,0
8,111488,111488,0
8,111503,111504,0
8,112038,112038,0
8,112048,112048,0
8,112571,112571,0
8,112583,112584,0
8,113120,113120,0
8,113134,113134,0
8,113837,113837,0
8,113851,113853,2
8,114397,114397,0
8,114405,114407,2
8,114911,114911,0
8,114921,114922,0
8,115430,115431,0
8,115442,115442,0
8,115950,115950,0
8,115962,115964,1
8,116589,116589,0
8,116597,116598,0
8,117165,117165,0
8,117172,117174,2
8,117784,117784,0
8,117794,117794,0
8,118394,118395,0
8,118402,118403,1
8,118946,118947,0
8,118954,118958,3
8,119509,119509,0
8,119518,119519,0
8,120058,120059,0
8,120067,120068,0
8,120652,120652,0
8,120659,120661,1
8,121240,121240,0
8,121248,121253,5
8,121880,121880,0
8,121888,121892,3
8,122497,122506,8
8,122517,122518,1
8,123035,123035,0
8,123040,123041,0
8,123550,123551,0
8,123556,123563,7
8,124131,124131,0
8,124137,124140,2
8,124656,124657,0
8,124666,124667,1
8,125219,125219,0
8,125229,125232,3
8,125766,125766,0
8,125775,125780,5
8,126361,126361,0
8,126370,126374,4
8,126897,126898,0
8,126904,126909,5
8,127434,127434,0
8,127444,127445,0
8,127963,127963,0
8,127973,127978,4
8,128522,128522,0
8,128534,128535,1
8,129117,129117,0
8,129127,129129,2
8,129669,129669,0
8,129680,129681,1
8,130301,130301,0
8,130333,130334,0
8,130908,130908,0
8,130917,130917,0
8,131559,131559,0
8,131567,131569,1
8,132123,132123,0
8,132134,132134,0
8,132726,132726,0
8,132746,132746,0
8,133379,133380,1
8,133388,133392,4
8,134006,134006,0
8,134013,134013,0
8,134507,134507,0
8,134515,134517,1
8,135008,135008,0
8,135018,135018,0
8,135637,135637,0
8,135660,135661,0
8,136306,136309,3
8,136315,136319,3
8,136822,136822,0
8,136829,136832,3
8,137404,137404,0
8,137411,137415,3
8,137999,138001,2
8,138029,138029,0
8,138658,138659,0
8,138669,138669,0
8,139202,139202,0
8,139212,139213,0
8,139736,139736,0
8,139748,139748,0
8,140238,140238,0
8,140247,140248,0
8,140863,140863,0
8,140874,140877,2
8,141530,141530,0
8,141539,141542,3
8,142133,142133,0
8,142141,142142,0
8,142692,142692,0
8,142700,142702,2
8,143316,143316,0
8,143328,143329,0
8,143868,143868,0
8,143881,143882,0
8,144416,144416,0
8,144430,144430,0
8,145056,145056,0
8,145066,145066,0
8,145686,145686,0
8,145696,145697,1
8,146306,146306,0
8,146314,146316,2
8,146872,146872,0
8,146881,146881,0
8,147436,147436,0
8,147446,147447,0
8,147978,147978,0
8,147989,147989,0
8,148524,148524,0
8,148532,148533,0
8,149104,149104,0
8,149117,149117,0
8,149652,149653,0
8,149661,149665,3
8,150198,150198,0
8,150209,150209,0
8,150768,150783,14
8,150800,150807,6
8,151339,151339,0
8,151357,151370,13
8,151887,151888,1
8,151901,151902,0
8,152402,152404,1
8,152414,152415,0
8,152925,152926,1
8,152939,152939,0
8,153448,153448,0
8,153464,153469,4
8,153961,153961,0
8,153969,153982,12
8,154609,154609,0
8,154618,154618,0
8,155236,155236,0
8,155249,155256,6
8,155904,155904,0
8,155920,155926,6
8,156496,156496,0
8,156507,156514,6
8,157039,157039,0
8,157052,157058,5
8,157585,157585,0
8,157600,157607,7
8,158131,158131,0
8,158143,158149,6
8,158756,158756,0
8,158766,158774,7
8,159375,159376,0
8,159387,159389,2
8,159918,159918,0
8,159929,159932,3
8,160461,160462,0
8,160470,160470,0
8,161095,161095,0
8,161105,161107,1
8,161710,161711,0
8,161716,161724,7
8,162283,162283,0
8,162291,162298,7
8,162909,162909,0
8,162919,162924,4
8,163462,163462,0
8,163472,163477,4
8,164007,164007,0
8,164015,164020,5
8,164613,164613,0
8,164624,164626,2
8,165193,165193,0
8,165202,165205,2
8,165773,165773,0
8,165783,165787,4
8,166431,166431,0
8,166441,166442,0
8,166995,166995,0
8,167006,167008,2
8,167573,167574,0
8,167584,167588,4
8,168260,168260,0
8,168267,168274,7
8,168914,168915,0
8,168923,168924,0
8,169531,169531,0
8,169540,169544,4
8,170166,170166,0
8,170175,170176,0
8,170775,170775,0
8,170784,170788,4
8,171302,171302,0
8,171310,171314,3
8,171834,171834,0
8,171844,171849,4
8,172384,172384,0
8,172394,172398,4
8,172996,172996,0
8,173007,173007,0
8,173538,173538,0
8,173545,173551,5
8,174087,174087,0
8,174097,174098,1
8,174638,174638,0
8,174650,174650,0
8,175228,175228,0
8,175238,175238,0
8,175795,175795,0
8,175805,175809,4
8,176345,176345,0
8,176356,176358,1
8,176951,176951,0
8,176961,176963,1
8,177571,177571,0
8,177585,177585,0
8,178146,178146,0
8,178153,178159,5
8,178687,178687,0
8,178704,178719,15
8,179243,179244,1
8,179251,179251,0
8,179739,179739,0
8,179749,179749,0
8,180268,180268,0
8,180276,180279,2
8,180849,180850,0
8,180861,180864,2
8,181425,181425,0
8,181433,181436,2
8,181941,181941,0
8,181948,181950,2
8,182454,182454,0
