,thread,time,event
,0,3801,rank 1 haven't tasks
,0,3801,worker try execute another tasks from 0 rank
,0,3801,rank 0 haven't tasks
,0,3801,worker finished job
,6,3824,tasks.size = 12
,0,3837,worker is executing own tasks
,0,3859,worker is executing another tasks
,0,3859,worker try execute another tasks from 1 rank
,3,3860,task 14 pass to 2
,0,3862,worker executed 14 task
,0,3862,worker try execute another tasks from 1 rank
,3,3865,task 25 pass to 1
,0,3865,rank 1 haven't tasks
,0,3865,worker try execute another tasks from 0 rank
,3,3866,task 29 pass to 2
,3,3867,task 20 pass to 1
,0,3868,worker executed 29 task
,0,3868,worker try execute another tasks from 0 rank
,0,3868,rank 0 haven't tasks
,0,3868,worker finished job
,6,3883,tasks.size = 14
,0,3891,worker is executing own tasks
,3,3914,task 18 pass to 1
,3,3915,change location in 0 for task 29 counter was 1
,0,3915,worker is executing another tasks
,3,3916,delete task 29
,0,3916,worker try execute another tasks from 1 rank
,0,3927,rank 1 haven't tasks
,3,3927,change location in 1 for task 29 counter was 0
,0,3927,worker try execute another tasks from 0 rank
,3,3927,map changed for task 29; sendedTaskCounter.size = 0
,0,3928,rank 0 haven't tasks
,0,3928,worker finished job
,6,3928,tasks.size = 13
,0,3957,worker is executing own tasks
,0,3981,worker is executing another tasks
,0,3982,worker try execute another tasks from 1 rank
,0,4003,rank 1 haven't tasks
,0,4003,worker try execute another tasks from 0 rank
,0,4004,rank 0 haven't tasks
,0,4004,worker finished job
,6,4006,tasks.size = 13
,0,4011,worker is executing own tasks
,0,4036,worker is executing another tasks
,0,4036,worker try execute another tasks from 1 rank
,0,4036,rank 1 haven't tasks
,0,4036,worker try execute another tasks from 0 rank
,0,4037,rank 0 haven't tasks
,0,4037,worker finished job
,6,4038,tasks.size = 13
,0,4041,worker is executing own tasks
,0,4067,worker is executing another tasks
,0,4067,worker try execute another tasks from 1 rank
,0,4068,rank 1 haven't tasks
,0,4068,worker try execute another tasks from 0 rank
,0,4068,rank 0 haven't tasks
,0,4068,worker finished job
,6,4068,tasks.size = 13
,0,4073,worker is executing own tasks
,0,4096,worker is executing another tasks
,0,4097,worker try execute another tasks from 1 rank
,3,4097,change location in 0 for task 14 counter was 1
,3,4097,change location in 1 for task 14 counter was 0
,3,4097,map changed for task 14; sendedTaskCounter.size = 0
,3,4097,delete task 14
,0,4098,rank 1 haven't tasks
,0,4098,worker try execute another tasks from 0 rank
,0,4098,rank 0 haven't tasks
,0,4098,worker finished job
,6,4107,tasks.size = 12
,0,4124,worker is executing own tasks
,0,4148,worker is executing another tasks
,0,4148,worker try execute another tasks from 1 rank
,0,4148,rank 1 haven't tasks
,0,4148,worker try execute another tasks from 0 rank
,0,4148,rank 0 haven't tasks
,0,4148,worker finished job
