,thread,time,event
,1,16,dispatcher run
,3,16,map controller run
,5,17,server run
,5,17,server are ready for connection
,0,145,worker is executing own tasks
,0,186,worker is executing another tasks
,0,186,worker try execute another tasks from 0 rank
,3,188,task 30 pass to 1
,0,189,worker executed 30 task
,0,189,worker try execute another tasks from 0 rank
,0,190,rank 0 haven't tasks
,0,190,worker finished job
,6,213,tasks.size = 17
,0,235,worker is executing own tasks
,0,278,worker is executing another tasks
,0,278,worker try execute another tasks from 0 rank
,0,278,rank 0 haven't tasks
,0,278,worker finished job
,6,279,tasks.size = 17
,0,282,worker is executing own tasks
,0,325,worker is executing another tasks
,0,325,worker try execute another tasks from 0 rank
,0,325,rank 0 haven't tasks
,0,325,worker finished job
,6,325,tasks.size = 17
,0,327,worker is executing own tasks
,0,369,worker is executing another tasks
,0,369,worker try execute another tasks from 0 rank
,0,370,rank 0 haven't tasks
,0,370,worker finished job
,6,371,tasks.size = 17
,0,373,worker is executing own tasks
,0,416,worker is executing another tasks
,0,416,worker try execute another tasks from 0 rank
,0,416,rank 0 haven't tasks
,0,416,worker finished job
,6,417,tasks.size = 17
,0,420,worker is executing own tasks
,0,463,worker is executing another tasks
,0,463,worker try execute another tasks from 0 rank
,0,463,rank 0 haven't tasks
,0,463,worker finished job
,6,464,tasks.size = 17
,0,466,worker is executing own tasks
,0,509,worker is executing another tasks
,0,509,worker try execute another tasks from 0 rank
,3,510,task 26 pass to 1
,0,512,worker executed 26 task
,0,512,worker try execute another tasks from 0 rank
,0,512,rank 0 haven't tasks
,0,512,worker finished job
,6,516,tasks.size = 18
,0,519,worker is executing own tasks
,0,564,worker is executing another tasks
,0,564,worker try execute another tasks from 0 rank
,3,565,task 22 pass to 1
,0,568,worker executed 22 task
,0,568,worker try execute another tasks from 0 rank
,3,568,task 24 pass to 1
,0,570,worker executed 24 task
,0,570,worker try execute another tasks from 0 rank
,0,571,rank 0 haven't tasks
,0,571,worker finished job
,6,574,tasks.size = 20
,0,576,worker is executing own tasks
,3,618,change location in 0 for task 24 counter was 0
,3,618,map changed for task 24; sendedTaskCounter.size = 0
,3,618,delete task 24
,0,619,worker is executing another tasks
,0,619,worker try execute another tasks from 0 rank
,0,620,rank 0 haven't tasks
,0,620,worker finished job
,6,621,tasks.size = 19
,0,625,worker is executing own tasks
,0,663,worker is executing another tasks
,0,663,worker try execute another tasks from 0 rank
,0,664,rank 0 haven't tasks
,0,664,worker finished job
,6,666,tasks.size = 19
,0,668,worker is executing own tasks
,0,707,worker is executing another tasks
,0,707,worker try execute another tasks from 0 rank
,3,707,task 24 pass to 1
,0,709,worker executed 24 task
,0,709,worker try execute another tasks from 0 rank
,0,709,rank 0 haven't tasks
,0,709,worker finished job
,6,710,tasks.size = 20
,0,713,worker is executing own tasks
,3,752,delete task 24
,3,752,change location in 0 for task 24 counter was 0
,3,752,map changed for task 24; sendedTaskCounter.size = 0
,0,752,worker is executing another tasks
,0,752,worker try execute another tasks from 0 rank
,0,753,rank 0 haven't tasks
,0,753,worker finished job
,6,756,tasks.size = 19
,0,758,worker is executing own tasks
,0,798,worker is executing another tasks
,0,798,worker try execute another tasks from 0 rank
,0,798,rank 0 haven't tasks
,0,798,worker finished job
,6,799,tasks.size = 19
,0,802,worker is executing own tasks
,0,843,worker is executing another tasks
,0,843,worker try execute another tasks from 0 rank
,0,843,rank 0 haven't tasks
,0,843,worker finished job
,6,844,tasks.size = 19
,0,847,worker is executing own tasks
,0,886,worker is executing another tasks
,0,886,worker try execute another tasks from 0 rank
,0,886,rank 0 haven't tasks
,0,886,worker finished job
,6,888,tasks.size = 19
,0,891,worker is executing own tasks
,0,929,worker is executing another tasks
,0,929,worker try execute another tasks from 0 rank
,0,930,rank 0 haven't tasks
,0,930,worker finished job
,6,933,tasks.size = 19
,0,936,worker is executing own tasks
,0,975,worker is executing another tasks
,0,975,worker try execute another tasks from 0 rank
,0,975,rank 0 haven't tasks
,0,975,worker finished job
,6,977,tasks.size = 19
,0,980,worker is executing own tasks
,0,1017,worker is executing another tasks
,0,1017,worker try execute another tasks from 0 rank
,3,1018,task 24 pass to 1
,0,1020,worker executed 24 task
,0,1020,worker try execute another tasks from 0 rank
,0,1020,rank 0 haven't tasks
,0,1020,worker finished job
,6,1021,tasks.size = 20
,0,1024,worker is executing own tasks
,3,1064,delete task 24
,3,1064,change location in 0 for task 24 counter was 0
,3,1064,map changed for task 24; sendedTaskCounter.size = 0
,0,1064,worker is executing another tasks
,0,1064,worker try execute another tasks from 0 rank
,0,1064,rank 0 haven't tasks
,0,1064,worker finished job
,6,1067,tasks.size = 19
,0,1070,worker is executing own tasks
,0,1108,worker is executing another tasks
,0,1108,worker try execute another tasks from 0 rank
,0,1109,rank 0 haven't tasks
,0,1109,worker finished job
,6,1112,tasks.size = 19
,0,1115,worker is executing own tasks
,3,1149,delete task 30
,3,1149,change location in 0 for task 30 counter was 0
,3,1149,map changed for task 30; sendedTaskCounter.size = 0
,3,1151,change location in 0 for task 22 counter was 0
,3,1151,map changed for task 22; sendedTaskCounter.size = 0
,3,1151,delete task 22
,0,1151,worker is executing another tasks
,0,1151,worker try execute another tasks from 0 rank
,0,1151,rank 0 haven't tasks
,0,1151,worker finished job
,6,1153,tasks.size = 17
,0,1157,worker is executing own tasks
,0,1193,worker is executing another tasks
,0,1193,worker try execute another tasks from 0 rank
,0,1193,rank 0 haven't tasks
,0,1193,worker finished job
,6,1193,tasks.size = 17
,0,1197,worker is executing own tasks
,0,1234,worker is executing another tasks
,0,1234,worker try execute another tasks from 0 rank
,0,1234,rank 0 haven't tasks
,0,1234,worker finished job
,6,1234,tasks.size = 17
,0,1238,worker is executing own tasks
,0,1274,worker is executing another tasks
,0,1274,worker try execute another tasks from 0 rank
,0,1274,rank 0 haven't tasks
,0,1274,worker finished job
,6,1275,tasks.size = 17
,0,1278,worker is executing own tasks
,0,1312,worker is executing another tasks
,0,1312,worker try execute another tasks from 0 rank
,0,1313,rank 0 haven't tasks
,0,1313,worker finished job
,3,1313,delete task 26
,3,1313,change location in 0 for task 26 counter was 0
,3,1313,map changed for task 26; sendedTaskCounter.size = 0
,6,1316,tasks.size = 16
,0,1319,worker is executing own tasks
,0,1353,worker is executing another tasks
,0,1353,worker try execute another tasks from 0 rank
,3,1353,task 26 pass to 1
,0,1355,worker executed 26 task
,0,1355,worker try execute another tasks from 0 rank
,0,1356,rank 0 haven't tasks
,0,1356,worker finished job
,6,1356,tasks.size = 17
,0,1360,worker is executing own tasks
,0,1395,worker is executing another tasks
,0,1395,worker try execute another tasks from 0 rank
,0,1395,rank 0 haven't tasks
,0,1395,worker finished job
,6,1396,tasks.size = 17
,0,1400,worker is executing own tasks
,0,1435,worker is executing another tasks
,0,1435,worker try execute another tasks from 0 rank
,0,1436,rank 0 haven't tasks
,0,1436,worker finished job
,6,1437,tasks.size = 17
,0,1441,worker is executing own tasks
,0,1475,worker is executing another tasks
,0,1475,worker try execute another tasks from 0 rank
,3,1475,task 22 pass to 1
,0,1478,worker executed 22 task
,0,1478,worker try execute another tasks from 0 rank
,0,1478,rank 0 haven't tasks
,0,1478,worker finished job
,6,1478,tasks.size = 18
,0,1482,worker is executing own tasks
,0,1517,worker is executing another tasks
,0,1517,worker try execute another tasks from 0 rank
,0,1517,rank 0 haven't tasks
,0,1517,worker finished job
,3,1517,change location in 0 for task 22 counter was 0
,3,1517,map changed for task 22; sendedTaskCounter.size = 0
,3,1517,delete task 22
,6,1520,tasks.size = 17
,0,1523,worker is executing own tasks
,0,1558,worker is executing another tasks
,0,1558,worker try execute another tasks from 0 rank
,0,1558,rank 0 haven't tasks
,0,1558,worker finished job
,6,1559,tasks.size = 17
,0,1562,worker is executing own tasks
,0,1596,worker is executing another tasks
,0,1596,worker try execute another tasks from 0 rank
,0,1596,rank 0 haven't tasks
,0,1596,worker finished job
,6,1598,tasks.size = 17
,0,1601,worker is executing own tasks
,0,1636,worker is executing another tasks
,0,1636,worker try execute another tasks from 0 rank
,0,1636,rank 0 haven't tasks
,0,1636,worker finished job
,6,1638,tasks.size = 17
,0,1641,worker is executing own tasks
,0,1675,worker is executing another tasks
,0,1675,worker try execute another tasks from 0 rank
,0,1676,rank 0 haven't tasks
,0,1676,worker finished job
,6,1677,tasks.size = 17
,0,1680,worker is executing own tasks
,0,1715,worker is executing another tasks
,0,1715,worker try execute another tasks from 0 rank
,0,1715,rank 0 haven't tasks
,0,1715,worker finished job
,6,1717,tasks.size = 17
,0,1720,worker is executing own tasks
,0,1755,worker is executing another tasks
,0,1755,worker try execute another tasks from 0 rank
,0,1755,rank 0 haven't tasks
,0,1755,worker finished job
,6,1758,tasks.size = 17
,0,1761,worker is executing own tasks
,0,1796,worker is executing another tasks
,0,1796,worker try execute another tasks from 0 rank
,0,1796,rank 0 haven't tasks
,0,1796,worker finished job
,6,1798,tasks.size = 17
,0,1801,worker is executing own tasks
,0,1836,worker is executing another tasks
,0,1836,worker try execute another tasks from 0 rank
,0,1837,rank 0 haven't tasks
,0,1837,worker finished job
,6,1837,tasks.size = 17
,0,1841,worker is executing own tasks
,0,1875,worker is executing another tasks
,0,1875,worker try execute another tasks from 0 rank
,0,1875,rank 0 haven't tasks
,0,1875,worker finished job
,6,1878,tasks.size = 17
,0,1882,worker is executing own tasks
,0,1915,worker is executing another tasks
,0,1915,worker try execute another tasks from 0 rank
,3,1915,task 22 pass to 1
,0,1917,worker executed 22 task
,0,1917,worker try execute another tasks from 0 rank
,0,1918,rank 0 haven't tasks
,0,1918,worker finished job
,6,1918,tasks.size = 18
,0,1921,worker is executing own tasks
,0,1957,worker is executing another tasks
,0,1957,worker try execute another tasks from 0 rank
,0,1957,rank 0 haven't tasks
,0,1957,worker finished job
,6,1958,tasks.size = 18
,0,1961,worker is executing own tasks
,3,1994,delete task 22
,3,1994,change location in 0 for task 22 counter was 0
,3,1994,map changed for task 22; sendedTaskCounter.size = 0
,0,1995,worker is executing another tasks
,0,1995,worker try execute another tasks from 0 rank
,0,1995,rank 0 haven't tasks
,0,1995,worker finished job
,6,1997,tasks.size = 17
,0,2000,worker is executing own tasks
,0,2034,worker is executing another tasks
,0,2034,worker try execute another tasks from 0 rank
,3,2035,task 22 pass to 1
,0,2037,worker executed 22 task
,0,2037,worker try execute another tasks from 0 rank
,0,2037,rank 0 haven't tasks
,0,2037,worker finished job
,6,2038,tasks.size = 18
,0,2042,worker is executing own tasks
,3,2075,change location in 0 for task 22 counter was 0
,3,2075,map changed for task 22; sendedTaskCounter.size = 0
,3,2075,delete task 22
,0,2076,worker is executing another tasks
,0,2076,worker try execute another tasks from 0 rank
,0,2076,rank 0 haven't tasks
,0,2076,worker finished job
,6,2078,tasks.size = 17
,0,2081,worker is executing own tasks
,0,2113,worker is executing another tasks
,0,2113,worker try execute another tasks from 0 rank
,3,2114,task 22 pass to 1
,0,2116,worker executed 22 task
,0,2116,worker try execute another tasks from 0 rank
,0,2116,rank 0 haven't tasks
,0,2116,worker finished job
,6,2116,tasks.size = 18
,0,2120,worker is executing own tasks
,0,2154,worker is executing another tasks
,0,2154,worker try execute another tasks from 0 rank
,0,2154,rank 0 haven't tasks
,0,2154,worker finished job
,6,2155,tasks.size = 18
,0,2159,worker is executing own tasks
,3,2191,change location in 0 for task 22 counter was 0
,3,2191,map changed for task 22; sendedTaskCounter.size = 0
,3,2191,delete task 22
,0,2192,worker is executing another tasks
,0,2192,worker try execute another tasks from 0 rank
,0,2193,rank 0 haven't tasks
,0,2193,worker finished job
,6,2195,tasks.size = 17
,0,2198,worker is executing own tasks
,0,2232,worker is executing another tasks
,0,2232,worker try execute another tasks from 0 rank
,3,2233,task 22 pass to 1
,0,2235,worker executed 22 task
,0,2235,worker try execute another tasks from 0 rank
,0,2235,rank 0 haven't tasks
,0,2235,worker finished job
,6,2236,tasks.size = 18
,0,2238,worker is executing own tasks
,0,2272,worker is executing another tasks
,0,2272,worker try execute another tasks from 0 rank
,0,2273,rank 0 haven't tasks
,0,2273,worker finished job
,6,2279,tasks.size = 18
,0,2283,worker is executing own tasks
,0,2315,worker is executing another tasks
,0,2315,worker try execute another tasks from 0 rank
,0,2315,rank 0 haven't tasks
,0,2315,worker finished job
,3,2316,change location in 0 for task 22 counter was 0
,3,2316,map changed for task 22; sendedTaskCounter.size = 0
,3,2316,delete task 22
,6,2319,tasks.size = 17
,0,2323,worker is executing own tasks
,0,2356,worker is executing another tasks
,0,2356,worker try execute another tasks from 0 rank
,3,2356,task 22 pass to 1
,0,2358,worker executed 22 task
,0,2358,worker try execute another tasks from 0 rank
,0,2358,rank 0 haven't tasks
,0,2358,worker finished job
,6,2359,tasks.size = 18
,0,2363,worker is executing own tasks
,3,2394,delete task 22
,3,2394,change location in 0 for task 22 counter was 0
,3,2394,map changed for task 22; sendedTaskCounter.size = 0
,0,2396,worker is executing another tasks
,0,2396,worker try execute another tasks from 0 rank
,0,2396,rank 0 haven't tasks
,0,2396,worker finished job
,6,2397,tasks.size = 17
,0,2401,worker is executing own tasks
,0,2433,worker is executing another tasks
,0,2433,worker try execute another tasks from 0 rank
,3,2434,task 22 pass to 1
,0,2436,worker executed 22 task
,0,2436,worker try execute another tasks from 0 rank
,0,2436,rank 0 haven't tasks
,0,2436,worker finished job
,6,2437,tasks.size = 18
,0,2441,worker is executing own tasks
,3,2473,change location in 0 for task 22 counter was 0
,3,2473,map changed for task 22; sendedTaskCounter.size = 0
,3,2473,delete task 22
,0,2473,worker is executing another tasks
,0,2474,worker try execute another tasks from 0 rank
,0,2474,rank 0 haven't tasks
,0,2474,worker finished job
,6,2476,tasks.size = 17
,0,2482,worker is executing own tasks
,0,2516,worker is executing another tasks
,0,2516,worker try execute another tasks from 0 rank
,3,2516,task 22 pass to 1
,0,2518,worker executed 22 task
,0,2518,worker try execute another tasks from 0 rank
,0,2519,rank 0 haven't tasks
,0,2519,worker finished job
,6,2520,tasks.size = 18
,0,2524,worker is executing own tasks
,0,2560,worker is executing another tasks
,0,2560,worker try execute another tasks from 0 rank
,0,2560,rank 0 haven't tasks
,0,2560,worker finished job
,6,2561,tasks.size = 18
,0,2565,worker is executing own tasks
,0,2599,worker is executing another tasks
,0,2599,worker try execute another tasks from 0 rank
,0,2599,rank 0 haven't tasks
,0,2599,worker finished job
,6,2600,tasks.size = 18
,0,2604,worker is executing own tasks
,0,2637,worker is executing another tasks
,3,2637,change location in 0 for task 22 counter was 0
,3,2637,map changed for task 22; sendedTaskCounter.size = 0
,0,2637,worker try execute another tasks from 0 rank
,3,2637,delete task 22
,0,2637,rank 0 haven't tasks
,0,2637,worker finished job
,6,2639,tasks.size = 17
,0,2643,worker is executing own tasks
,0,2676,worker is executing another tasks
,0,2676,worker try execute another tasks from 0 rank
,0,2676,rank 0 haven't tasks
,0,2676,worker finished job
,6,2679,tasks.size = 17
,0,2683,worker is executing own tasks
,0,2715,worker is executing another tasks
,0,2715,worker try execute another tasks from 0 rank
,0,2716,rank 0 haven't tasks
,0,2716,worker finished job
,6,2719,tasks.size = 17
,0,2723,worker is executing own tasks
,0,2756,worker is executing another tasks
,0,2756,worker try execute another tasks from 0 rank
,3,2756,task 30 pass to 1
,0,2757,worker executed 30 task
,0,2757,worker try execute another tasks from 0 rank
,0,2758,rank 0 haven't tasks
,0,2758,worker finished job
,6,2759,tasks.size = 18
,0,2763,worker is executing own tasks
,0,2797,worker is executing another tasks
,0,2797,worker try execute another tasks from 0 rank
,0,2797,rank 0 haven't tasks
,0,2797,worker finished job
,3,2797,delete task 30
,3,2798,change location in 0 for task 30 counter was 0
,3,2798,map changed for task 30; sendedTaskCounter.size = 0
,6,2800,tasks.size = 17
,0,2804,worker is executing own tasks
,0,2838,worker is executing another tasks
,0,2838,worker try execute another tasks from 0 rank
,3,2838,task 30 pass to 1
,0,2840,worker executed 30 task
,0,2840,worker try execute another tasks from 0 rank
,0,2840,rank 0 haven't tasks
,0,2840,worker finished job
,6,2840,tasks.size = 18
,0,2846,worker is executing own tasks
,0,2881,worker is executing another tasks
,0,2881,worker try execute another tasks from 0 rank
,0,2882,rank 0 haven't tasks
,0,2882,worker finished job
,6,2882,tasks.size = 18
,0,2887,worker is executing own tasks
,3,2920,change location in 0 for task 30 counter was 0
,3,2920,map changed for task 30; sendedTaskCounter.size = 0
,3,2920,delete task 30
,0,2921,worker is executing another tasks
,0,2921,worker try execute another tasks from 0 rank
,0,2921,rank 0 haven't tasks
,0,2921,worker finished job
,6,2922,tasks.size = 17
,0,2927,worker is executing own tasks
,0,2959,worker is executing another tasks
,0,2959,worker try execute another tasks from 0 rank
,3,2960,task 22 pass to 1
,0,2962,worker executed 22 task
,0,2962,worker try execute another tasks from 0 rank
,0,2962,rank 0 haven't tasks
,0,2962,worker finished job
,6,2963,tasks.size = 18
,0,2966,worker is executing own tasks
,3,2998,delete task 22
,3,2998,change location in 0 for task 22 counter was 0
,3,2998,map changed for task 22; sendedTaskCounter.size = 0
,0,3000,worker is executing another tasks
,0,3000,worker try execute another tasks from 0 rank
,0,3000,rank 0 haven't tasks
,0,3000,worker finished job
,6,3001,tasks.size = 17
,0,3005,worker is executing own tasks
,0,3037,worker is executing another tasks
,0,3037,worker try execute another tasks from 0 rank
,0,3037,rank 0 haven't tasks
,0,3037,worker finished job
,6,3040,tasks.size = 17
,0,3043,worker is executing own tasks
,0,3077,worker is executing another tasks
,0,3077,worker try execute another tasks from 0 rank
,0,3078,rank 0 haven't tasks
,0,3078,worker finished job
,6,3078,tasks.size = 17
,0,3081,worker is executing own tasks
,0,3114,worker is executing another tasks
,0,3114,worker try execute another tasks from 0 rank
,0,3114,rank 0 haven't tasks
,0,3114,worker finished job
,6,3116,tasks.size = 17
,0,3120,worker is executing own tasks
,0,3153,worker is executing another tasks
,0,3153,worker try execute another tasks from 0 rank
,3,3153,task 22 pass to 1
,0,3155,worker executed 22 task
,0,3155,worker try execute another tasks from 0 rank
,0,3156,rank 0 haven't tasks
,0,3156,worker finished job
,6,3156,tasks.size = 18
,0,3160,worker is executing own tasks
,0,3196,worker is executing another tasks
,0,3196,worker try execute another tasks from 0 rank
,0,3196,rank 0 haven't tasks
