,thread,time,event
,1,16,dispatcher run
,5,17,server run
,5,18,server are ready for connection
,3,18,map controller run
,0,145,worker is executing own tasks
,3,191,change location in 1 for task 30 counter was 0
,3,191,map changed for task 30; sendedTaskCounter.size = 0
,3,191,delete task 30
,0,194,worker is executing another tasks
,0,194,worker try execute another tasks from 1 rank
,0,207,rank 1 haven't tasks
,0,207,worker finished job
,6,207,tasks.size = 15
,0,219,worker is executing own tasks
,0,277,worker is executing another tasks
,0,277,worker try execute another tasks from 1 rank
,0,277,rank 1 haven't tasks
,0,277,worker finished job
,6,279,tasks.size = 15
,0,281,worker is executing own tasks
,0,324,worker is executing another tasks
,0,324,worker try execute another tasks from 1 rank
,0,325,rank 1 haven't tasks
,0,325,worker finished job
,6,325,tasks.size = 15
,0,327,worker is executing own tasks
,0,370,worker is executing another tasks
,0,370,worker try execute another tasks from 1 rank
,0,371,rank 1 haven't tasks
,0,371,worker finished job
,6,371,tasks.size = 15
,0,373,worker is executing own tasks
,0,417,worker is executing another tasks
,0,417,worker try execute another tasks from 1 rank
,0,417,rank 1 haven't tasks
,0,417,worker finished job
,6,417,tasks.size = 15
,0,420,worker is executing own tasks
,0,463,worker is executing another tasks
,0,463,worker try execute another tasks from 1 rank
,0,464,rank 1 haven't tasks
,0,464,worker finished job
,6,464,tasks.size = 15
,0,466,worker is executing own tasks
,3,510,delete task 26
,3,510,change location in 1 for task 26 counter was 0
,3,510,map changed for task 26; sendedTaskCounter.size = 0
,0,516,worker is executing another tasks
,0,516,worker try execute another tasks from 1 rank
,0,516,rank 1 haven't tasks
,0,516,worker finished job
,6,516,tasks.size = 14
,0,519,worker is executing own tasks
,3,565,delete task 22
,3,565,change location in 1 for task 22 counter was 0
,3,565,map changed for task 22; sendedTaskCounter.size = 0
,3,568,change location in 1 for task 24 counter was 0
,3,568,map changed for task 24; sendedTaskCounter.size = 0
,3,568,delete task 24
,0,573,worker is executing another tasks
,0,573,worker try execute another tasks from 1 rank
,0,574,rank 1 haven't tasks
,0,574,worker finished job
,6,574,tasks.size = 12
,0,576,worker is executing own tasks
,0,617,worker is executing another tasks
,0,617,worker try execute another tasks from 1 rank
,3,618,task 24 pass to 0
,0,620,worker executed 24 task
,0,620,worker try execute another tasks from 1 rank
,0,621,rank 1 haven't tasks
,0,621,worker finished job
,6,621,tasks.size = 13
,0,625,worker is executing own tasks
,0,665,worker is executing another tasks
,0,665,worker try execute another tasks from 1 rank
,0,666,rank 1 haven't tasks
,0,666,worker finished job
,6,666,tasks.size = 13
,0,668,worker is executing own tasks
,0,707,worker is executing another tasks
,0,707,worker try execute another tasks from 1 rank
,0,707,rank 1 haven't tasks
,0,707,worker finished job
,3,707,change location in 1 for task 24 counter was 0
,3,707,map changed for task 24; sendedTaskCounter.size = 0
,3,707,delete task 24
,6,710,tasks.size = 12
,0,713,worker is executing own tasks
,0,751,worker is executing another tasks
,0,751,worker try execute another tasks from 1 rank
,3,752,task 24 pass to 0
,0,755,worker executed 24 task
,0,755,worker try execute another tasks from 1 rank
,0,755,rank 1 haven't tasks
,0,755,worker finished job
,6,756,tasks.size = 13
,0,758,worker is executing own tasks
,0,798,worker is executing another tasks
,0,798,worker try execute another tasks from 1 rank
,0,799,rank 1 haven't tasks
,0,799,worker finished job
,6,799,tasks.size = 13
,0,802,worker is executing own tasks
,0,843,worker is executing another tasks
,0,843,worker try execute another tasks from 1 rank
,0,843,rank 1 haven't tasks
,0,843,worker finished job
,6,844,tasks.size = 13
,0,847,worker is executing own tasks
,0,887,worker is executing another tasks
,0,888,worker try execute another tasks from 1 rank
,0,888,rank 1 haven't tasks
,0,888,worker finished job
,6,888,tasks.size = 13
,0,891,worker is executing own tasks
,0,932,worker is executing another tasks
,0,932,worker try execute another tasks from 1 rank
,0,933,rank 1 haven't tasks
,0,933,worker finished job
,6,933,tasks.size = 13
,0,936,worker is executing own tasks
,0,977,worker is executing another tasks
,0,977,worker try execute another tasks from 1 rank
,0,977,rank 1 haven't tasks
,0,977,worker finished job
,6,977,tasks.size = 13
,0,980,worker is executing own tasks
,3,1018,change location in 1 for task 24 counter was 0
,3,1018,map changed for task 24; sendedTaskCounter.size = 0
,3,1018,delete task 24
,0,1019,worker is executing another tasks
,0,1019,worker try execute another tasks from 1 rank
,0,1019,rank 1 haven't tasks
,0,1019,worker finished job
,6,1021,tasks.size = 12
,0,1024,worker is executing own tasks
,0,1063,worker is executing another tasks
,0,1063,worker try execute another tasks from 1 rank
,3,1064,task 24 pass to 0
,0,1066,worker executed 24 task
,0,1066,worker try execute another tasks from 1 rank
,0,1067,rank 1 haven't tasks
,0,1067,worker finished job
,6,1067,tasks.size = 13
,0,1070,worker is executing own tasks
,0,1110,worker is executing another tasks
,0,1110,worker try execute another tasks from 1 rank
,0,1111,rank 1 haven't tasks
,0,1111,worker finished job
,6,1111,tasks.size = 13
,0,1115,worker is executing own tasks
,0,1148,worker is executing another tasks
,0,1148,worker try execute another tasks from 1 rank
,3,1149,task 30 pass to 0
,0,1150,worker executed 30 task
,0,1150,worker try execute another tasks from 1 rank
,3,1150,task 22 pass to 0
,0,1153,worker executed 22 task
,0,1153,worker try execute another tasks from 1 rank
,0,1153,rank 1 haven't tasks
,0,1153,worker finished job
,6,1153,tasks.size = 15
,0,1157,worker is executing own tasks
,0,1193,worker is executing another tasks
,0,1193,worker try execute another tasks from 1 rank
,0,1193,rank 1 haven't tasks
,0,1193,worker finished job
,6,1193,tasks.size = 15
,0,1197,worker is executing own tasks
,0,1233,worker is executing another tasks
,0,1233,worker try execute another tasks from 1 rank
,0,1233,rank 1 haven't tasks
,0,1233,worker finished job
,6,1234,tasks.size = 15
,0,1238,worker is executing own tasks
,0,1274,worker is executing another tasks
,0,1274,worker try execute another tasks from 1 rank
,0,1274,rank 1 haven't tasks
,0,1274,worker finished job
,6,1275,tasks.size = 15
,0,1279,worker is executing own tasks
,0,1312,worker is executing another tasks
,0,1312,worker try execute another tasks from 1 rank
,3,1313,task 26 pass to 0
,0,1315,worker executed 26 task
,0,1315,worker try execute another tasks from 1 rank
,0,1315,rank 1 haven't tasks
,0,1315,worker finished job
,6,1316,tasks.size = 16
,0,1319,worker is executing own tasks
,3,1353,change location in 1 for task 26 counter was 0
,3,1353,map changed for task 26; sendedTaskCounter.size = 0
,3,1353,delete task 26
,0,1354,worker is executing another tasks
,0,1354,worker try execute another tasks from 1 rank
,0,1354,rank 1 haven't tasks
,0,1355,worker finished job
,6,1356,tasks.size = 15
,0,1360,worker is executing own tasks
,0,1395,worker is executing another tasks
,0,1395,worker try execute another tasks from 1 rank
,0,1396,rank 1 haven't tasks
,0,1396,worker finished job
,6,1396,tasks.size = 15
,0,1399,worker is executing own tasks
,0,1437,worker is executing another tasks
,0,1437,worker try execute another tasks from 1 rank
,0,1437,rank 1 haven't tasks
,0,1437,worker finished job
,6,1437,tasks.size = 15
,0,1441,worker is executing own tasks
,3,1475,change location in 1 for task 22 counter was 0
,3,1475,map changed for task 22; sendedTaskCounter.size = 0
,3,1476,delete task 22
,0,1476,worker is executing another tasks
,0,1476,worker try execute another tasks from 1 rank
,0,1476,rank 1 haven't tasks
,0,1476,worker finished job
,6,1478,tasks.size = 14
